id,price,moonRank,ðŸ’Ž score (%),storeURL,Background,Baloons,Crystals,Dome,House,Lower Floor,Original,Upper Floor
29,0.01,1564,70.45,https://magiceden.io/item-details/B8Lq4vo66sNpbp5xbbFH9rK9q275iHYVLWFE72QsaYK2,Moving Red Stars,None,None,None,Orange Tent,Blue Crystal,,Solana City Green
181,0.017,952,81.94,https://magiceden.io/item-details/3g7C7bqCMYr8X9Eni5mHR3H7Drk1iUnhFbKdD9MWdeiD,Inverted Moving Red Stars,None,None,None,Lit Hammock,Green Crystal,,Lava
236,0.01,1378,73.96,https://magiceden.io/item-details/G4JXKbGYQKGXpctmqbmi2wdW3NmYTt5AY63DdFM97v1v,Space & Planet,None,None,None,Yellow Mushroom GM,Blue,,Purple Lava
369,0.01,1491,71.83,https://magiceden.io/item-details/2ZHCgVMbb1h1vgoqFy6pTCLzQF2GT6hPfZChuJJJNPnp,Red Sky,None,None,None,Lit Hammock,Pink & Green Shaded,,Pyramid
469,0.01,1738,67.16,https://magiceden.io/item-details/5L7phx8vdiAwnExLGw4KHVyaxaKqUd9NwJ5F3LFi8G42,Space & Planet,None,None,None,Blue Portal,Blue Shaded,,Blue Lava
695,0.019,598,88.61,https://magiceden.io/item-details/7zrUBdCpEr8PWZfCMM5P3JruVUQuSp4wpWrSVf9LN7J2,Cold Wave Lightning,None,Ice,None,On Sale!,Redish Crystal,,Pyramid Rarelight
760,0.01,1612,69.54,https://magiceden.io/item-details/2VWLHVL8Zyr8W2sjMrxJns1ybpkXkBQYQsPscvBi8H2W,Moving Red Stars,None,None,None,House & Store GM,Blue,,Orange Lava
941,0.019,1283,75.67,https://magiceden.io/item-details/9PX7pypxLZSt6JKEErAzxZ5TgVGKUPL2wo3SZLqNkWCR,"Space, Stars, Planet Moving",None,None,None,HammocK,Purple Crystal,,Purple Stones Chroma
1045,0.019,28,99.38,https://magiceden.io/item-details/4NSNisQJ1hRbmf6r4ctBpB7cgQsvNxgrMbJWwEa1Cor6,Heatwave Chroma,None,Tormaline,Sphere,HammocK,Pink Crystal,,Solana City
1107,0.01,1120,78.84,https://magiceden.io/item-details/CmdH1gpNDkPLWccUdUpMpq3XoEjPenTR412KG5S8KeEX,Red Stars,None,None,None,"House, Store &Tree Bloom Bluish",Gold Crystal,,Golden Rush
1118,0.01,2094,60.43,https://magiceden.io/item-details/7HhWWUKNaZtrsWYj88X5T5hYFgrNVcsiBrHoD4z9QQP6,Space,None,None,None,House & Store Purple Variant,Redish Blue,,Basic Blue
1134,0.01,201,96.2,https://magiceden.io/item-details/HgCndF3NUwLh3JRG5ix7RCVg5dNSBzCfDV99N1xbwxFG,Meteors,None,None,Dome,"House, Store &Tree Red",Ground & Tourmaline,,Pyramid & Markings
1157,0.01,1708,67.73,https://magiceden.io/item-details/EKSRoMFNmCmiVjT7YVVHBKRtEzNA2P7GP2pZ6qyGYEcm,Black Sky,None,None,None,Sword,Brown & Blue Shaded,,Purple Stones
1197,0.01,1819,65.63,https://magiceden.io/item-details/3RuYFvoYmNRYgrCSDu9UGAkGnthcVRnpgD1oEd7t2zKC,Black Sky,None,None,None,House & Store,Pink & Green Shaded,,Green & Pink Lava
1204,0.01,1881,64.46,https://magiceden.io/item-details/AqoR9WovcG7eacMhkZ9wovu8iMpkB9FBDvhM7rn2YaE2,Space & Stars,None,None,None,On Sale!,Ground & Ice,,Solana City
1545,0.01,1964,62.89,https://magiceden.io/item-details/3yThzzPA7ZT6AgL3LAXam1uLc4YCC2o4sVNh6Ep6dWpG,Space,None,None,None,Hammock Purple,Blue & Brown Shaded,,Pyramid
1597,0.01,2117,60,https://magiceden.io/item-details/eDzXC5SD5kyHpX8vBmmvT1r5WY5DVpswDeJYvGAFvYd,Space With Planets Variant,None,None,None,Pink Tent,Green & Purple Shaded,,Pyramid & Gold Markings
1818,0.02,773,85.29,https://magiceden.io/item-details/2foNQdTxJFuWritJnWohZGtCaDuajFWJBzbY1jNEoAtU,Clouds & Light,None,None,None,House & Store Purple,Yellow Crystal Ground,,Purple Stones
1827,0.02,337,93.53,https://magiceden.io/item-details/Ps7gzHZDDtroktLPrYm3pvWPw6qqotRc7F3ZdQvmz1K,Cold Wave Lightning,Balloons Variant,None,None,"House, Store &Tree Bloom Bluish",Redish Blue,,Pyramid & Markings
1831,0.02,1869,64.59,https://magiceden.io/item-details/J256NGQjwSX7k9YFWF1bVB7NJDBzpvvypPwQQEp584BS,Cold Wave Lightning,None,None,None,Sold!,Blue Shaded,,Golden Rush
