id,price,moonRank,ðŸ’Ž score (%),storeURL,Background,Base,Bottom,Ears,Eyes,Head,Shoes,Teeth,Top
1584,2.65,1286,70.77,https://magiceden.io/item-details/3J3HQEyktNJXPYZkEv3iv3oevhJJojxYC71PJyJP4eqk,Green,Orange,Jeans,Pigtails,Round,None,Runners Black,Spike,Enigma Vest Red
1592,3.5,2700,46.09,https://magiceden.io/item-details/232PFajX3C9V7CE2YTYqhm9AafCddC1cCKFQMLDZw218,Purple,Orange,Latex,Heart,Cross,None,Runners Black,Spike Open,Smooth Puff Seafoam
1612,2.7,1980,62.33,https://magiceden.io/item-details/AmqGP9w6fu5xV3yvCQy6nxK9HiKxyvjFhgC1q3AqqiCb,White,White,None,Mickey,Spiral,Pink Flower,Angoboot Neon Green,Spike,None
1624,2.25,803,80.3,https://magiceden.io/item-details/Dd5eKM2UCCoXHu9yDVJN89FGASsB5SShqBWjWVhnfQco,White,Flame,Latex,Horns,Round,Pink Flower,Runners White,Gap,Windbreaker Lemon
1657,1.55,1780,76.12,https://magiceden.io/item-details/3xtrAwnGgiKRxN3vv5DmkmPnhqgyVN8y7iqggSL8kKGW,White,Pink,Jeans,Horns,Cross,None,Runners Black,Vamp,Long Puff Orange
1694,3.2,1306,65.04,https://magiceden.io/item-details/EcYP7oTftLBBenAPQvBsxSQ4Ew4MezdNJuVPbpCV3Nr6,Black,Candy,Shorts Black,Mickey,Spiral,None,Angoboot Beige,Spike Open,Perforated Puff White
1698,1.6,3364,57.49,https://magiceden.io/item-details/6Na2NrssfcaiqjHYMEHDDjAktBc1FJZd1WdCh1JmrE8T,White,Orange,Latex,Heart,Round,None,Fly Bred,Spike Open,Long Puff Black
1753,1.75,2099,70.47,https://magiceden.io/item-details/51Pz87Ur52QkaqSfuJShCKbwvKzCnZq8oNCcwVxLSCGm,Yellow,Sky,None,Pigtails,Cross,None,Fly Panda,Spike Open,Long Puff Orange
1762,1.3,1595,80.74,https://magiceden.io/item-details/B5oegtzqpMKw8iywDFQYoFB6zabWwQgGS7tBCUpPEosS,Red,Sky,Windbreakers Dark,Mickey,Round,None,Sandals White,Gap,Sweater Honey
1794,3,2570,52.58,https://magiceden.io/item-details/A2MPiDESey14F5KnSZKyFoNg54XoEubjiYmJzJG4AUzH,White,Flame,Jeans,Pigtails,Spiral,None,Fly Panda,Spike,Smooth Puff Seafoam
1800,2.8,3474,44.23,https://magiceden.io/item-details/Fk14aXaBozwQSoc2HdMkbDTGwown2eqxFftCqymdBvnf,White,Shadow,None,Heart,Cross,None,Runners Black,Spike Open,Long Puff Orange
1816,3.8,1086,61.56,https://magiceden.io/item-details/ALKsgso125gGNYF3TTgHpSj2ytpBjHyTNm6h7Bu6LRkU,White,Mint,None,Heart,Spidey,Halo Yellow,Sandals Purple,Gap,Smooth Puff Azure
1819,3,1307,67.03,https://magiceden.io/item-details/ENX322tWKQemQMzTUPBWyotHE8if9NKxKqe6H6iTvX4Q,Yellow,Pink,Puff Pants Purple,Heart,Spiral,None,Sandals White,Gap,Base Puff Yellow
1841,3,2543,52.89,https://magiceden.io/item-details/ETeJ4z8Pgk8eSCDEU2kFQcHv9WEgcNkqJmaXTHDLKRCo,Red,Candy,Latex,Mickey,Round,None,Runners Black,Gap,Smooth Puff Seafoam
1885,2.5,1296,72.16,https://magiceden.io/item-details/D6HP7ARcGes3gmpREerGWENTTswN5aQBDSG1kLGoxEae,Purple,White,Puff Pants Black,Pigtails,Cross,None,Angoboot Black,Gap,Tee Black
1890,2,3404,53.03,https://magiceden.io/item-details/4YafNSQmgGvJiQHsKmfkxCaR11juDNbi45zrwnYtYEgC,White,Mint,Shorts Pineapple,Heart,Cross,None,Fly Blue,Spike Open,None
1897,2.5,2878,54.05,https://magiceden.io/item-details/6CtdGR7XP8JMVHJixpUULb9v4Taj6f52LZziaQfXHYYV,White,Black,Puff Pants Purple,Mickey,Spiral,None,None,Gap,Striped Sweater
1908,1.7,1126,82.1,https://magiceden.io/item-details/BJTuCpv2FNA9GdAD8ZcpYvEmpvXQxXR5L1Rps1U63ixJ,White,Mint,Puff Pants Purple,Heart,Spiral,Blue Flower,Angoboot Black,Spike,Tee White
1923,1.25,2060,75.91,https://magiceden.io/item-details/BEgJQE5a5k81MbWXARMDyukqLdjpxiXHXzRcea88Tk4X,Yellow,White,Windbreakers Dark,Mickey,Cross,None,Fly Blue,Gap,Tee Blue
1941,3.75,2101,50.44,https://magiceden.io/item-details/3GAVkaiPxzedW9sxzoWDgiy4iGZKxAYdzZtHRSBU7Es5,White,Sky,Jeans,Heart,Spidey,None,None,Rainbow,Long Puff Orange
1952,1.2,1396,84.01,https://magiceden.io/item-details/4dCDWdPNNGTt2iU6bt5yBNXDazJxKFpMH3XrEJf3TBuE,Red,Pink,Puff Pants Cream,Heart,Cross,None,Sandals Purple,Spike Open,Smooth Puff Red
1955,2.7,304,81.51,https://magiceden.io/item-details/9rjgxncLKpagpWcUPAiRqujw8gtS8hU3zQBhwZ62mQQA,Purple,Candy,Puff Pants Red,Pigtails,Round,Pink Flower,Fly Bred,Spike,Tee White
1962,1.69,1538,77.49,https://magiceden.io/item-details/Bfd2qmx8uyNTQURgKMSnFqX7QAgMbPgTNxcaYjKNtujG,Red,Flame,Shorts Pineapple,Horns,Spiral,None,Runners White,Gap,Long Puff Orange
1972,1.5,2035,73.7,https://magiceden.io/item-details/2xVRS67RVztQeV8yfbMB6iitKxvydjKGrpM95oY7Yf8n,Green,Flame,Latex,Mickey,Round,None,Angoboot Neon Green,Spike,Smooth Puff Seafoam
1975,3,2680,51.32,https://magiceden.io/item-details/G6roCVuALjVzxSXWYrYh3k3ApYYkGAujJ6SVTHvajbn3,White,Orange,Shorts Pineapple,Pigtails,Cross,None,Angoboot Beige,Gap,Sweater Black
1993,2.8,2226,58.51,https://magiceden.io/item-details/FQbP5x1TFWxnrVFdjsKaLoTNGcJA2qBNGuY54YGCrGdp,White,Pink,Jeans,Horns,Spiral,None,Fly Panda,Spike Open,Smooth Puff Azure
2019,1.5,3229,60.03,https://magiceden.io/item-details/F14RBV7zqBiRmBwbhBRzpswvJAtC4AEkfWqhTihnNbiT,White,Sky,Puff Pants Purple,Mickey,Spiral,None,Runners White,Spike,Tee Black
2029,2.3,2701,58.08,https://magiceden.io/item-details/B4tS2h3HvU7ioyGYA3V5UoS9PAJfc45jLE2Y3cDRfVKe,White,Black,Puff Pants Black,Mickey,Round,None,Sandals Yellow,Spike,Smooth Puff Seafoam
2045,3.5,2541,47.91,https://magiceden.io/item-details/74BhQbq1NwJrqxjMgpdHZCMTZvGGQnmdP5ZvwrAer9aP,White,Purple,Windbreakers Dark,Mickey,Spiral,None,Fly Blue,Gap,Perforated Puff White
2046,3.25,1381,63.68,https://magiceden.io/item-details/C6R3prQPL2qNohvmHnddPCaMXJAFxUDpWrNoqCDKi3yT,Red,Solana,Latex,Mickey,Spidey,None,Runners White,Spike,Striped Sweater
2056,2.1,2996,56.7,https://magiceden.io/item-details/4N5Ani3Fjuc9yDmAShSRNXXNu45Pp93eyx5nLyy38muQ,White,Mint,Shorts Black,Heart,Round,None,Sandals Red,Spike Open,Sweater Honey
2057,1.21,2939,66.25,https://magiceden.io/item-details/8HjBGbcM33gG5uSGwdnVEz7saXDynJfMqfpq6RSHJM53,White,White,None,Heart,Round,None,Sandals Yellow,Gap,Puff Vest Cream
2086,1.199,2556,70.75,https://magiceden.io/item-details/3uFi4zUFHqQJ9oujs7XFiNNDZ19jfeZze6kdjfjKRmXp,Purple,Purple,Latex,Mickey,Round,None,Fly Bred,Spike,Long Puff Black
2090,2,155,90.22,https://magiceden.io/item-details/dtMtPrUjQq148p5WDEVWv2SqGbtrgSavhTVAGX6ne1i,Yellow,Purple,Shorts Pineapple,Mickey,Spidey,Blue Flower,Runners White,Vamp,Perforated Puff Purple
2092,3,2604,52.19,https://magiceden.io/item-details/7YH1noNthWtinjXgTjHFSXyHMoK1K8iQguDZTrxn2Yww,White,Mint,Puff Pants Purple,Pigtails,Spiral,None,Runners Black,Gap,Base Puff Yellow
2122,2.99,1785,61.66,https://magiceden.io/item-details/BWzESTESqrcdziEQVbqhximPc3KhgkGYH7CKHNiuxx18,White,Orange,Jeans,Horns,Round,None,Runners Black,Gap,Enigma Vest Red
2136,3.8,1025,62.26,https://magiceden.io/item-details/9yEBseSpm6mm6rUpoJT2R1tUgQaJoC7dKz6BesZryr5z,Green,Candy,Windbreakers White,Mickey,Spidey,None,Croc,Spike Open,Puff Vest Cream
2150,1.55,1941,74.28,https://magiceden.io/item-details/Fs4UNEhZ3fm9QFzdEhAJgvcUzfNA9BntUhrcLqyCh5ow,Purple,White,Shorts Black,Mickey,Cross,None,Sandals White,Spike Open,Smooth Puff Seafoam
2191,1.6,2068,72.32,https://magiceden.io/item-details/9D9EDtax3oLBkjwteDdcJsuLoGi4cECyfdaTzxrcPvJc,Red,Mint,Puff Pants Red,Heart,Round,None,Angoboot Beige,Spike,Smooth Puff Red
2225,2.75,2116,60.27,https://magiceden.io/item-details/Dy7aiJPa8mQAoLhbvqQiKcGrjxxH2KJuZ2HLTVzStuxz,Yellow,Orange,Jeans,Heart,Cross,None,Fly Blue,Spike Open,Grandpa
2233,1.7,2729,63.76,https://magiceden.io/item-details/Cx96aLV4rfbgEBAay8QEMCMzzcg823NHuUdpTcwtcMsS,White,Orange,Puff Pants Purple,Pigtails,Spiral,None,Runners Black,Spike Open,Grandpa
2242,2.5,2125,62.67,https://magiceden.io/item-details/48fqfCF3XvChbb8ywyAeJLgbN1TVxgfsAjz8EuzFB4Fc,Purple,Pink,Shorts Pineapple,Pigtails,Cross,None,None,Spike,Base Puff White
2259,2.5,1220,73.03,https://magiceden.io/item-details/Hxmycusz3TDmRoSNu4BTNZPaGfb4doQXj1kiqrwkCHb1,White,Black,Latex,Heart,Spiral,Blue Flower,Croc,Spike Open,Tee Blue
2284,1.65,2104,71.41,https://magiceden.io/item-details/GUjAbReEuzmqeQocUc3MJ3pZkuHyevioc9q1g8tw58Dd,Yellow,Sky,Shorts Black,Heart,Spiral,None,Fly Bred,Spike Open,Windbreaker Lemon
2291,2,2776,60.22,https://magiceden.io/item-details/7TSJME3ZjwbS8XrhWr85ki94VXEajMmGdc7bauCa6UPz,White,Purple,Puff Pants Purple,Mickey,Spiral,None,None,Spike Open,Perforated Puff White
2293,2.99,3410,43.06,https://magiceden.io/item-details/7cTmLD4Zt5dv3VLdR6hE5D9yGoRBhXvWkMD75mqsrdTT,White,Orange,Shorts Pineapple,Heart,Round,None,Fly Panda,Spike,Long Puff Black
2301,3.5,1586,58.84,https://magiceden.io/item-details/4ReKoy7iKAXKH77SSot9LoZ9hANRiBBEQdMxZDCvtryi,Green,Sky,Puff Pants Cream,Mickey,Spidey,None,None,Spike,Puff Vest Pistachio
2323,2.5,3178,50.62,https://magiceden.io/item-details/Nj4WZQN3MzseJXz8crL63gi35y8cU3T7UWSn7T7UGXj,White,Flame,None,Mickey,Round,None,Runners White,Vamp,Tee White
2344,2.1,2894,57.87,https://magiceden.io/item-details/61sjarXkcKvmHbARhAYQauYeRWF1pWHfRKPmso4XhEa1,White,Purple,Puff Pants Red,Mickey,Spidey,None,Angoboot Black,Spike,Tee Blue
2345,2.8,1583,65.87,https://magiceden.io/item-details/7hSF1Cgh22KhVHmUNYjoAMmUWVMJnoAAdEBg5CzEr7Gn,Black,White,Puff Pants Red,Mickey,Cross,None,Angoboot Black,Spike Open,Smooth Puff Azure
2352,2.2,3238,52.93,https://magiceden.io/item-details/kSAivnFrd65uAU1L2yHYHzYDSKhYAWx9JRnNuY8vxhj,White,Purple,Shorts Black,Mickey,Spiral,None,Fly Blue,Gap,Long Puff Orange
2385,1.9,1659,74,https://magiceden.io/item-details/F9b95mQHX241AaLMEGCjBPTaE47rHXaJgN99tRTpgstM,Green,Shadow,Windbreakers Dark,Heart,Spiral,None,Sandals Red,Spike,Long Puff Black
2394,2.2,599,83.13,https://magiceden.io/item-details/DzwsTvHnMR6Sth1DWa4X86RqXkfe9V6AQEoTMgDciYrS,Purple,Candy,Jeans,Mickey,Round,Halo Red,Runners Black,Spike,Base Puff White
2499,1.75,2601,64.72,https://magiceden.io/item-details/GxW6RfD8auZfTv7iTFdKhQE1vVW35QGfFUnF4gwK1TvA,Red,Black,None,Mickey,Spidey,None,Fly Blue,Spike,Smooth Puff Azure
2500,1.7,1422,78.72,https://magiceden.io/item-details/2g86WkQ4sLJXLgLpfeieyg545NsXPUM6FnZ8ePwbwpuP,Green,Flame,Shorts Black,Pigtails,Spidey,None,Fly Panda,Spike Open,Tee Blue
2512,3.5,2610,47.12,https://magiceden.io/item-details/1gJ7aNTQVMkuTD3BpUreYGnyBiw9WDqipnzN4aAr632,White,Sky,Latex,Mickey,Spiral,None,Fly Panda,Gap,Perforated Puff Purple
2523,2.65,2673,54.9,https://magiceden.io/item-details/6EnNeoCpiJxxfsrfRB1ZEcgCVAmH7f1mH15DKdDUTPuY,Purple,Mint,None,Heart,Spidey,None,Runners Black,Spike,Windbreaker White
2534,3.69,683,67.27,https://magiceden.io/item-details/GbfhZXJdBWLGpL3HXraomFVBo9Cxv14yZRch8j6ZiSVN,Red,Sky,Windbreakers Dark,Heart,Spiral,None,Sandals Red,Rainbow,Smooth Puff Chrome
2540,1.5,2676,66.36,https://magiceden.io/item-details/BXszLmKQcRK24EoK9adCktTdFVjw8jovndHjatTwC7wT,White,Pink,Puff Pants Black,Heart,Cross,None,Sandals White,Spike Open,Tee White
2621,2,1030,80.2,https://magiceden.io/item-details/CSEEL31mFTDfRka1oWaAku9M81UdtgijyEom5t6SJqLg,Red,Pink,Jeans,Mickey,Round,None,Sandals White,Vamp,Windbreaker Lemon
2635,3.4,2886,44.96,https://magiceden.io/item-details/8FKPW4yFtwG3i8FqTfo8SCJxD7g5gNgD8goQA9BGJcuz,White,Sky,Shorts Black,Mickey,Spidey,None,Croc,Spike,Long Puff Black
2641,3.5,1217,63.06,https://magiceden.io/item-details/AFQVBwX1gtT5dW5k6eo2ghT55GpaHwMcVVnLHPwxP2AL,Red,Solana,Puff Pants Cream,Mickey,Round,None,Angoboot Beige,Gap,Tee White
2677,3.3,237,76.28,https://magiceden.io/item-details/6xc2Tjmh1qkKttJiJRSwKLSg9m1dm3Sk8ab98DRZtBLW,White,Sky,Puff Pants Red,Heart,Jinx,Thorn,Runners Black,Spike,Tee Blue
2684,3.33,2525,49.79,https://magiceden.io/item-details/7w8kkW1vykL7zCH58vUXpxHKwEwUfpzdtwHo2PEpQvMv,White,Flame,Puff Pants Purple,Heart,Cross,None,Angoboot Neon Orange,Spike Open,Smooth Puff Red
2711,3,1552,64.23,https://magiceden.io/item-details/8JEdJ4CGP1NKMnhu4VQxMTGEF2jKzwJNXepuJb97YwPV,Green,White,Shorts Pineapple,Pigtails,Cross,None,Fly Blue,Spike Open,Windbreaker Lemon
2736,2.5,874,76.99,https://magiceden.io/item-details/FmhYSJteaYAunv72tX5QByjweWHZvS6PJXp9hTEpd2FJ,White,Black,Windbreakers White,Heart,Cross,Blue Flower,Fly Panda,Spike Open,Perforated Puff White
2804,3.6,2213,50.66,https://magiceden.io/item-details/9jw58yYRXhYMgSzwUcxXw7UfkX2yhKxkFBhFMeWYvSQZ,White,Purple,None,Mickey,Cross,Pink Flower,None,Gap,Smooth Puff Seafoam
2828,3,628,74.8,https://magiceden.io/item-details/AcpyWJ1XzuQG7x1kdarHJmL2YvCyMBCVqTmKQV1GhkeS,Red,Sky,Puff Pants Red,Horns,Cross,None,Fly Bred,Spike Open,Enigma Vest Neon Green
2844,3,733,73.6,https://magiceden.io/item-details/5ZufVTD2rgGy89KUAyDXqrfVNcMtG3JDTqzecaUS5h6E,Green,Black,Puff Pants Black,Pigtails,Spiral,None,Angoboot Beige,Vamp,Smooth Puff Red
2849,3,2004,59.05,https://magiceden.io/item-details/m1pzNx1U3m7obj7Udmr3392zXn5iNYb3UfLMLXu8xMS,Black,Orange,None,Mickey,Cross,None,Sandals Red,Spike,Base Puff Yellow
2865,1.34,1976,75.97,https://magiceden.io/item-details/9Ws7PRGWc7k4gFjC3P5iJc3N6VPw3sBA4yLeEdVTP1ba,Purple,Pink,Puff Pants Cream,Heart,Spiral,None,Fly Bred,Spike Open,Tee Blue
2890,1.29,2123,74.79,https://magiceden.io/item-details/AhPJWTinN9iJs1GwodxiauVqKcfvTMxZf8iDe4PSGjwA,Purple,Flame,Windbreakers White,Heart,Round,None,Runners White,Spike,Puff Vest Cream
2940,3,1263,67.54,https://magiceden.io/item-details/6FJbJCoN5vsc5F2Qv6KF262sfHMWMiT5JAwXu8aipLP6,White,Pink,Latex,Mickey,Cross,Blue Flower,Croc,Spike Open,Long Puff Black
2947,2.3,1023,77.28,https://magiceden.io/item-details/hD8tHPH1qtmYyatcB1xRbMvrEjV65v4gx69MizT2CP4,Purple,White,Puff Pants Cream,Pigtails,Round,None,Sandals White,Spike Open,Sweater Carolina
2962,1.99,2585,62.5,https://magiceden.io/item-details/BtTsopXLH5LxSufwMPbPBnYSC1QTN6QLGD83BMPwH35r,Red,Black,Latex,Heart,Round,None,Angoboot Beige,Spike,Tee Blue
2986,3.5,239,74.25,https://magiceden.io/item-details/3KKN92bNQaX4QxfM8pxFX1gzQ9GqfjtQBRVWFcRFMjne,Red,Purple,Jeans,Mickey,Spiral,Halo Red,Sandals Red,Spike Open,Striped Sweater
3041,2,1055,79.92,https://magiceden.io/item-details/ChPydupXC7zNNsAaULMkWfwRvwvb9LXh7QJAhkyH2tUk,Red,Pink,Puff Pants Red,Pigtails,Cross,None,Sandals Yellow,Spike,Smooth Puff Chrome
3042,1.47,2027,74.09,https://magiceden.io/item-details/gxoe46gxxnioZrLSTkPXQGefG749i6jHtdDmpWBibqw,Green,Purple,Shorts Pineapple,Mickey,Spidey,None,Fly Bred,Spike,Tee White
3045,2.75,2588,54.87,https://magiceden.io/item-details/9YrH3yb7VxqFjeHM865KthfCns4WhR44m6aQuh2ZYrej,White,Orange,Jeans,Pigtails,Spiral,None,None,Vamp,None
3055,2.5,540,80.81,https://magiceden.io/item-details/399YsbT1wLL7kMtX1aXJJBXStXH33L7DrLzgbh8NM8TC,Green,White,None,Pigtails,Round,Thorn,Runners Black,Gap,Tee White
3099,3,1336,66.7,https://magiceden.io/item-details/HGgsusWcDnHd8AQjpbuAZuW3pJgZHWvmsXmBPuA86uMS,Purple,Skelly,Latex,Heart,Round,None,Angoboot Beige,Spike,Smooth Puff Seafoam
3130,3,790,72.95,https://magiceden.io/item-details/9UYqPPsShBT2gGU7Y69YhukoTsUVoyytbCnV9G5ZrpL4,White,Shadow,Shorts Pineapple,Pigtails,Spiral,Halo Red,Angoboot Neon Orange,Spike Open,Tee Black
3134,3.5,2468,48.74,https://magiceden.io/item-details/9Rg2gyKjRwZERGp5EG2vnew7BUhg93pPryNvrCz8M1wz,White,Candy,Puff Pants Purple,Heart,Spidey,None,Angoboot Black,Spike,Grandpa
3172,1.3,2935,65.4,https://magiceden.io/item-details/EYLcjPF8TKiCU8iV436ojnBVMHMGZWDExVSUGGkPCw3f,White,Purple,Shorts Pineapple,Pigtails,Round,None,None,Spike,Puff Vest Pistachio
3202,3,1242,67.78,https://magiceden.io/item-details/8KNCGBTHMBo9rSkN61qwxAW1baa3ETedJNZ7S77JqMTS,White,Black,Windbreakers Dark,Pigtails,Cross,None,Fly Panda,Vamp,Perforated Puff White
3212,1.25,1907,77.66,https://magiceden.io/item-details/7634QrTC8TiL3C7BAGwmyRHoN8dysboKkLvn735Lgu4f,Purple,Mint,Puff Pants Cream,Mickey,Round,None,Angoboot Neon Orange,Spike Open,Tee Black
3262,2,2175,67.1,https://magiceden.io/item-details/ESCrMzGgRf12sftUc37HQTzWGNaR3jAQtgTX8puKwfuf,Yellow,Flame,Windbreakers White,Mickey,Cross,None,Runners Black,Gap,Base Puff White
3280,1.75,2236,68.9,https://magiceden.io/item-details/9V9BPXXathC7uRjmiubi1PoAKMUSu4niHGfVxRzVF5Xs,White,Mint,Puff Pants Cream,Mickey,Spidey,None,Sandals Red,Spike Open,Sweater Black
3294,3.5,2530,48.03,https://magiceden.io/item-details/4UYHP6MQdVVx6R9SCdTN6C2AK98pQcn1V2XJ4kZ5SY2W,White,Flame,Puff Pants Cream,Heart,Spidey,None,None,Gap,Puff Vest Pistachio
3310,2,2905,58.74,https://magiceden.io/item-details/1xdU95nwa2AqEYfBfJsTyjz8jacukEeSeScCfnaBWNG,White,Purple,Shorts Black,Pigtails,Spiral,None,Fly Bred,Gap,None
3315,2,250,89.13,https://magiceden.io/item-details/sRgoZRgeg9KRpzCK3mJrcAEeWPWgmLimqgxgY4cQpCC,Yellow,Shadow,Jeans,Pigtails,Spidey,Halo Red,None,Spike,Sweater Honey
3322,2.4,1442,71.49,https://magiceden.io/item-details/AKCWGK8Tc2RzwWatxUnRbDgKYj44GyjrQsjn33JmByMP,Red,Purple,Windbreakers White,Mickey,Spiral,None,None,Rainbow,Tee Blue
3348,2.2,3472,50.25,https://magiceden.io/item-details/6WRT8eFoDk3ynxkg43sgVtKyBoZjYZkX4HRFbeeSQeX2,White,Pink,None,Mickey,Spiral,None,Runners White,Spike,Windbreaker Lemon
3352,2.4,2445,60.01,https://magiceden.io/item-details/CGzpBkK9udFQBz7C7RNzVL52Dba75RAGs9Re7WFGbV4,Green,Flame,Latex,Mickey,Spiral,None,Angoboot Beige,Spike,Tee Blue
3353,2.5,1758,66.87,https://magiceden.io/item-details/E32ywWwtM7CH2nJb4yvYMU24t2cHewUtX3sa7FV9V5eo,Red,White,Windbreakers Dark,Heart,Spidey,None,Runners White,Gap,Windbreaker Lemon
3364,2,2281,65.88,https://magiceden.io/item-details/7sFawLgz8yBJcuhio5XzqKTEGqSboa1cbppsYbScCzN,White,Mint,Latex,Heart,Spidey,None,Fly Panda,Vamp,Smooth Puff Red
3402,2.42,1982,65.11,https://magiceden.io/item-details/GWMvY6ZhMjbaKiUpzkc4NpkPcnnartKLVjmBTTEebtuv,Purple,Orange,Shorts Black,Heart,Round,None,Angoboot Neon Orange,Spike,Puff Vest Cream
3449,1.5,2306,70.6,https://magiceden.io/item-details/BcLLR4N2C9v1zycANpshRm3NdWDAnUTVenSDT7PXgu4m,Purple,Sky,None,Mickey,Spidey,None,Angoboot Beige,Spike Open,Smooth Puff Chrome
3474,1.8,2437,66.1,https://magiceden.io/item-details/8mSpjakffC7BLzXs3fH1FhdzNQ2hsujt12gihgArkMkq,White,Black,Shorts Pineapple,Pigtails,Round,None,Fly Panda,Spike,Perforated Puff Black
3479,1.6,2030,72.76,https://magiceden.io/item-details/7WW4WyBMmCf3VEQWqKeaaoFaKgbE8itpjDCrRpRU23Hy,Red,Flame,Jeans,Heart,Round,None,Fly Bred,Spike,Smooth Puff Red
