id,price,moonRank,ðŸ’Ž score (%),storeURL,Accessory,Background,Beak,Body,Clothing,Eyes,Eyewear,Headwear
2307,2.4,2803,75.56,https://magiceden.io/item-details/44BxoCn3dzRnMN2nKn4whMf9B2jZVrEptwJosLEVyyCL,Joint,Dark Drips,Goth,Goth,Pioneer Tee,Classic,,Huey Hat
2442,2,7552,55.09,https://magiceden.io/item-details/7ZAP565WzmnjEfNLaqRXENEB9rz2w9xf471NjC6avu12,,Rays Pink,Yellow,Hunt,,Classic,,Killer Style
2509,1.5,7361,61.07,https://magiceden.io/item-details/95idbZJd8KDcect3e75cD9HT2DxPRsg1cjtvM3J44tQB,,Solana,Yellow,Goth,,Classic,,Captain Duck Price Hat
2538,2.3,5550,62.4,https://magiceden.io/item-details/ho6ZztwGCfTZQTd1UCykkHnNoXdnRzhxi7uE69s2WX1,,Waves,Yellow,Bath,Comedian College Jacket,Classic,,MEOW!
2549,2.1,5892,62.64,https://solanart.io/nft/7BC5WwJakLeA5mYLcg8EMEiheFyooUR5J71YGWCoKU4B,,Chess Classic,Goth,Goth,Coverall,Classic,,Red Dragon Bandana
2622,2,6107,62.53,https://magiceden.io/item-details/FZRPDYMGNVJ3yeQkHEwyHDLAxDhwMxTpcfsuyA8mFeoQ,,Blue Lines,Yellow,Goth,Tank Black,Classic,,Arrow
2697,7,7274,6.52,https://solanart.io/nft/2s6QqLLVDwniqoSuGAg4nFjA5J2WZHfs1yZCRo2VhpcZ,,Waves Orange,Yellow,Goth,,Classic,,Viking Helmet
2720,2.8,4939,60.55,https://magiceden.io/item-details/DHsxwFtNnxYj6vAxvtRUewS1ozzjJZ5ZXXc3icPyCDZa,,Rays Pink,Goth,Goth,Safari Lover,Classic,,Donald Duck
2732,2.3,3009,75.5,https://magiceden.io/item-details/9pJ8db1ER6DRnxicBgetubYft5BUsR6VRC2UcaD1XdLs,,Blue Lines,Yellow,Devil,Regal Suit,Classic,2477 Mask,Mia Pink
2751,3.25,4076,60.5,https://solanart.io/nft/nJjGMw62f2Dtw4V3xLxjUVpJqvBAah537apKDPZK6yp,,Waves Orange,Goth,Devil,,Otherside Yellow,MF Quack,
2757,2.2,6640,57.79,https://magiceden.io/item-details/AV7iPWirRVrCnSBSLSXPZkADdMZCdH9X1HFiHxXJ4Btg,,Quackgram Lines,Yellow,White,McFly Retro,Classic,,Dewey Hat
2768,2.5,3084,73.11,https://magiceden.io/item-details/7NNTZ3AAbTVAfqDS62McorC1B1V9xznvwGxfepLsQEfB,,Solana,Goth,Hunt,Wang GOFL Tee,Classic,Band Hero Purple,Huey Hat
2793,1.55,4065,77.55,https://magiceden.io/item-details/6BpTVyaja54FLozi1niKyJYSMZDxT3CtT67zne9wcaLj,,Rays Yellow,Metaduck,White,Vercetti Shirt,Classic,Racing Mask,
2797,2.3,6986,55,https://magiceden.io/item-details/7yeWrqFs2wv1y1JyA2oXzgEdhxgtwQXdxR7UfZZvu87n,,Chess Purple,Yellow,Devil,,Classic,Hockey Rage,
2815,2.7,6548,53.26,https://solanart.io/nft/A9SFhhfErteHfnY23LqVFb4CeSHPhRXjanhQnmqznRk,,Chess Classic,Yellow,Goth,Moto,Classic,,Winter Hat
2855,2.88,4913,59.89,https://magiceden.io/item-details/GTLE1fieYWJURf75qgRdcRi8hzSc2GUkJ69P23mCpT6G,,Chess Classic,Goth,Devil,Safari Lover,Classic,,Black Horns
2900,6.5,5139,22.52,https://solanart.io/nft/1EKTrRSZ2eu5k7mi5L1GL1kAxZd3TVd7CEcsFCkif8A,,Chess Classic,Goth,Devil,Playduck,Classic,,Captain Duck Price Hat
2988,11,6751,0,https://solanart.io/nft/DX3rQ2H43YcwZFgRm5DTz6brZRNDDXpKjPSDr8vhsVf1,,Rays Yellow,Yellow,White,Comedian College Jacket,Classic,,MDGA Cap
3025,2,3005,78.52,https://magiceden.io/item-details/911YVJDUUYFsbsakHJDUNV93wLjhE5aLCPgCRnHM3D4z,,Solana,Yellow,Devil,Black Cowboy Shirt,Otherside Yellow,Hockey Rage,
3035,1.9,1489,87.33,https://magiceden.io/item-details/DGi6gfs3eEFXzYvq1uN2KTt6SEKCcZbHCVETcNxjHSRg,,Biege Dotted,Goth,Hunt,Comedian College Jacket,Otherside Green,Eyes In Water,Dewey Hat
3042,1.6,4339,75.64,https://magiceden.io/item-details/HtFjucE4YjZQu3ivPLZouztJX4BRiWSj342AwYRZ8L6L,,Biege Dotted,Goth,Metaduck,Babrie Coverall,Classic,Heist Mask,
3059,2.5,1764,79.91,https://magiceden.io/item-details/ByZLHfraG8cwypvjSQ4cwn1omi4diBM1Xgnx8z9HVcVy,TNT,Rays Dark,Devil,Bath,Tank Motorhead,Hypno Black,,
3100,2.5,4289,66.9,https://magiceden.io/item-details/GKCTR1XGb3po82R4wmsygHXWjqTvyMbZpBnxBkcDzJxK,,Chess Classic,Metaduck,Metaduck,,Hypno Red,,Louie Hat
3102,2.5,7520,50.25,https://solanart.io/nft/6pGykdF2fZQXqmbgfHSWicfgWcntfUwYiLMV3dhz3gnb,,Blue Lines,Yellow,Goth,,Classic,,Black Horns
3113,2,5835,63.93,https://magiceden.io/item-details/3kZnx8LoiVZgBtw5SVSPTfCKgX3hwn82G3GWe6PZ3JsR,,Biege Dotted,Yellow,Metaduck,Experience Tee,Classic,,Sambrero
3127,10,3979,0,https://solanart.io/nft/FNbb1wq2TesZUnbhB3U91M3QftNRrjnH8JupVDe9cSDr,,Red Dots,Devil,White,,Stoned,Hockey Rage,
3138,2.6,7457,49.58,https://magiceden.io/item-details/2A6uWuFSToTh2hADh3hGmps9xbLxrkabqDvK4NFNk9up,,Rays Orange,Yellow,White,,Classic,,Teen Solana
3159,1.58,4593,74.53,https://magiceden.io/item-details/EzE6rAJAWmAtZwcAQrytFhCxHPH72dE2d1FSYj6Siny,,Dark Drips,Yellow,Metaduck,,Robo Magenta,,Winter Hat
3160,2.34,6549,56.86,https://magiceden.io/item-details/DdB9q4ca9sFKYZ9m2H3E42BW7E5JaZuw9URLXeh7tqWC,,Rays Pink,Yellow,Goth,Lizard Wizard Tee,Classic,,Winter Hat
3165,2.14,3833,72.85,https://magiceden.io/item-details/CwQF2cvSub3ytV87K3XgbckNgHimeUCVehytGBtQuBc6,,Dark Red,Yellow,Hunt,Billie Quack Armstrong,Void,,Louie Hat
3177,1.89,6335,62.46,https://magiceden.io/item-details/9RHuaqT6UdMAa9s6vLpAEYRTXqPYAVNoZk3xJMF3nm8d,,Rays Orange,Yellow,White,Outlaw Quacker Jacket,Classic,,Racing Cap
3217,2.13,849,88.33,https://magiceden.io/item-details/7QeacmmZSFRRXyhh96kR9V9su12UkbBXW357bmerzneN,Spiked Choker,Rays Pink,Goth,Metaduck,Billie Quack Armstrong,Empty,,Captain Duck Price Hat
3247,2.5,343,87.23,https://magiceden.io/item-details/FvSJCKmZHSbZRh3DJtZWbQw5bGQVFmfCPZb5DuQBqJGR,,Waves Purple,Zombie,Zombie,IDDQD Tee,Stoned,Blue Makeup,Captain Duck Price Hat
3287,2.49,4022,68.38,https://magiceden.io/item-details/5YepAM25ReW5YrcmufPyjAGoFqz45HUanF2ZS1ywABJw,,Quackgram Lines,Metaduck,Hunt,Oasis Tee,Classic,Hockey Black,
3287,2.49,4022,68.38,https://solanart.io/nft/5YepAM25ReW5YrcmufPyjAGoFqz45HUanF2ZS1ywABJw,,Quackgram Lines,Metaduck,Hunt,Oasis Tee,Classic,Hockey Black,
3293,2.89,247,83.83,https://magiceden.io/item-details/4YdRZ8nqJsoMrWJUAPyKR8VEXUHHxLzusF9nukm91EC8,,Waves Purple,Zombie,Zombie,Tank Slayer,Hypno Black,Band Hero Hendrix,Winter Hat
3299,2.89,1634,76.68,https://solanart.io/nft/CFd9EHRUd6w2Rs93RiPQWQfCvcCam3Xc2VWNEcmpLbfk,,Dark Drips,Goth,Goth,Outlaw Quacker Jacket,Stoned,Camo,Mia Pink
3366,6.66,5669,18.19,https://solanart.io/nft/7wGSpvPXucgicaj21TWTDGf9uYMkJmboWjCev7sRJUyr,,Solana,Goth,White,Vest Jeans,Classic,,MEOW!
3417,42.5,4906,0,https://solanart.io/nft/EvQLuvPWS24z21EGWdxYA2imubCwEEMsXQhAVSzJ7Bxv,,Red Dots,Yellow,Metaduck,Pepe Tee,Classic,Hockey Black,
3441,2.3,2216,79.58,https://magiceden.io/item-details/FuWwV3ceZhGg4GxojGyEEAreEU9BDESPL2Mqe8EuohEG,,Biege Dotted,Devil,Goth,Moto,Empty,Racing Mask,
3445,39,823,0,https://solanart.io/nft/BDZKMWZdiP2A9o2h7ij8DdPwxjbLkQS62USxxorxaBzT,,Rays Dark,Devil,Devil,Outlaw Quacker Jacket,Otherside Green,Eyes In Water,Goldern Horns
3477,2.1,4820,68.16,https://solanart.io/nft/8yJZ9isXngZ3vfZiedVf4YVGHMwfn5tz5KiXyWkjo43k,,Framed Strains,Goth,Hunt,McFly Retro,Classic,,Ginger Hair
3479,1.68,3326,80.06,https://magiceden.io/item-details/sLYk1L7t2LvcPftdTAuJhTDhCEL5LVvxQYA4xWWCpCB,,Rays Dark,Goth,Devil,Babrie Coverall,Metaduck,,Donald Duck
3571,2.75,4464,63.5,https://magiceden.io/item-details/4CYeEABhbz2Uc8zRWFHfADjYacMAJ6v7r1Chkb9jUL83,,Dark Red,Goth,White,Racing,Classic,Plastic Bag,
3586,1.85,2444,82.91,https://magiceden.io/item-details/7gjEp5SJt17XV8TcX8frcGTdPPSa8PXUrckNNeKFmxpe,,Waves Purple,Metaduck,Bath,,Empty,Band Hero Hendrix,Cowboy Black
3596,29,4216,0,https://solanart.io/nft/9aBNkvmjDaRPyYbFQpF5JjPGahPby3yLZUCEXHjmMxMs,,Red Dots,Yellow,Goth,Basketball Kobe Purple,Classic,,Trailer Park Hat
3682,2,4661,69.98,https://magiceden.io/item-details/4Fb7BUGEF1pzTSpQTAnjugTed7dLREYPALGxoyaYJpg5,,Quackgram Lines,Metaduck,Bath,Tank Slayer,Classic,,Donald Duck
3691,15,7234,0,https://solanart.io/nft/12XszZPtYcYSDTprszWEqYhDSQscKgrUUmVvFYV7eYaW,,Chess Purple,Goth,White,Wild Lover Shirt,Classic,,
3776,1.49,7555,60.17,https://magiceden.io/item-details/2SetqkbjwJGfQA3BLvU86Sud71dwAQhDAyBpwZ2oNtXQ,,Blue Lines,Yellow,Hunt,,Classic,,Huey Hat
3786,2.2,3558,73.67,https://magiceden.io/item-details/FEMDuTSZJpLaVQfSyefXXhdGaV9mkxF7dFDGKrEpGYSb,,Red Dots,Goth,Goth,Total Black,Empty,,Dewey Hat
3834,50,1988,0,https://solanart.io/nft/7cUy8reYAjpuQRinc4zxnm9prJCnDdVbGyMJoTq7Vuji,,Quackgram Lines,Goth,Goth,Basketball Air Red,Classic,Quack Vision,
3913,4,6340,41.33,https://solanart.io/nft/6Edey81Je2FmkCyhvdQ8f5AF4SWqgbGRb3HCGFtsfALY,,Dark Red,Yellow,White,Experience Tee,Classic,,Strong Beak
3975,10,7762,0,https://solanart.io/nft/BCD2FuVmj2adYEs4j6wFPHqoHgGh4R3uWLFGsfZ2wZjB,,Red Dots,Yellow,White,,Classic,,Huey Hat
4061,2.2,6240,59.85,https://magiceden.io/item-details/TEZrapZLr7qcJzXs7ztc6uDS5zdHaUnvLzvDCdTryzJ,,Quackgram Lines,Yellow,Bath,Racing,Classic,,Winter Hat
4083,8,6657,0,https://solanart.io/nft/93RpHwfBUEsk3DhQcPnL3MgvMiAyJk1fiiKm6YBMoDAy,,Chess Classic,Yellow,Hunt,Babrie Coverall,Classic,,Eric's Hat
4096,2.69,4412,64.37,https://magiceden.io/item-details/DpVtuzGURJDKabqEaVbveTFBeDnrvNcpLK28gkKrfFsi,,Rays Dark,Metaduck,Metaduck,Wang GOFL Tee,Classic,,Racing Cap
4131,2.449,5626,60.52,https://magiceden.io/item-details/3n846fZwrBVH8SVtY3kg45VSQq9bwC47b8H71pXYcYbX,,Biege Dotted,Goth,Bath,McFly Retro,Classic,,MEOW!
4139,1.95,5011,68.68,https://magiceden.io/item-details/6g5oWaBruTZ8yBXAGaL6NRPwR7W75VVRrUbwrn3pV1Sn,,Blue Lines,Metaduck,Bath,Tank BAYC,Classic,,MDGA Cap
4163,2.4,5774,60.25,https://magiceden.io/item-details/3w3n7rS5h6cVubDrRk2UPxnrQEoFiKucN1G1jbYxCvhC,,Chess Purple,Yellow,Bath,Smith Suit,Classic,,Strong Beak
4170,59,160,0,https://solanart.io/nft/8N3Dmvu2TLW2SfNP97vCbCQJ3bwqHsTpLaCRnA3eXGKZ,TNT,Blue Lines,Zombie,Zombie,Pioneer Tee,Hypno Black,,Red Horns
4182,3,1895,74.24,https://solanart.io/nft/94k11JoxuK2ZsC4KfjuoCzyaxvGPy9wjfJysX9XbnxVa,,Waves Orange,Metaduck,Goth,Tank Slayer,Classic,Kano Eye,Ginger Hair
4183,1.6,6466,64.68,https://magiceden.io/item-details/32nqEJzLDGe8YdQd8xV2cmaLWYyFy5UVPbXrPrB65ZSb,,Waves Orange,Yellow,Hunt,Squid Game,Classic,,Mia Pink
4238,9,5887,0,https://solanart.io/nft/F7PU7xocmSTLDu1jfbiGEboGg1aNAx47j7ggz5cQQde9,,Dark Drips,Goth,White,D.O. Double G Tee,Classic,,Sailor Hat
4285,1.4,7346,62.15,https://magiceden.io/item-details/F79QbYepZvCWjQbdGzxmoLacyhyppPP8paSaL37auiKy,,Red Dots,Yellow,Bath,,Classic,,Sambrero
4307,10,6952,0,https://solanart.io/nft/9HFGN1Ar16HnZpp6ZFBkpwUtmc8Uju1hq6Gee5c88Y65,,Quackgram Lines,Yellow,Devil,,Classic,Solana Digital Mask,
4324,2.6942,4753,62.57,https://magiceden.io/item-details/7CTnaXUGGU7bToxQy64MHq2XyVvLNJ8hiv7WeX7H3idc,,Biege Dotted,Yellow,Hunt,Raspberry 90s,Classic,,Jurassic Hat
4329,2.3,7249,53.65,https://solanart.io/nft/4CHfAE86ATjYMdtNzU2Dugkfwsjz12xTp8cZgAXf2xDg,,Solana,Yellow,Goth,,Classic,,Red Horns
4337,1.88,6581,61.29,https://magiceden.io/item-details/8mEANPZ7rk3qiTAwmcnyD9vmrn5cxiuGWS3JmTdNmRS3,,Dark Red,Yellow,Goth,Comedian College Jacket,Classic,,MDGA Cap
4352,2.22,4302,69.63,https://magiceden.io/item-details/7wX28ZfcruPbLfywg3whgGKkJ2jU9MzsFYqtemj4ma4J,,Blue Lines,Goth,Metaduck,Basketball Kobe Purple,Classic,,Mia Black
4364,2,7191,56.95,https://magiceden.io/item-details/BhCTrWx2NdK9Uhzvz7516XZjC1wXKd5FdPvLy28FfkjM,,Solana,Yellow,Goth,,Classic,,Top Hat
4365,6.3,759,47.09,https://solanart.io/nft/3pbrcni2GtLi1pcscJngyrMqqBpcPvGWj8tna3dPHBsh,,Quackgram Lines,Metaduck,Goth,Raspberry 90s,Stoned,Eyes In Water,Rice Hat
4371,2.19,1279,85.51,https://magiceden.io/item-details/GbxVKq2tTqXGpg8oCtCs4NmjsWb4UJhxA7sakM2GYTd8,Cigarette,Waves Purple,Goth,Goth,Tank Slayer,Otherside Yellow,,MEOW!
4386,2.8,7222,48.79,https://magiceden.io/item-details/9EsaoHMPDJUuKenXpqHPem3osWnLJAkYsVte65mNgRUA,,Ducktrix,Yellow,Bath,,Classic,,Captain Duck Price Hat
4459,2.1,7763,53,https://magiceden.io/item-details/6MJqJbunmVJwA1vL4NqL8VRcGoFC7n56vzcLVV3MHABU,,Biege Dotted,Yellow,White,,Classic,,Killer Style
4462,2.6,3262,71.19,https://solanart.io/nft/4F5J6TVRcoXSrUhU3AN4s3EbnkZRDnfdN1itdrt1r5WA,,Waves Purple,Yellow,Bath,Wang GOFL Tee,Hypno Red,Heist Mask,
4496,2.7,3258,70.21,https://magiceden.io/item-details/B9mqibrPxEPoPma84q874PdEpqDYKoEHUSfJzpVVhv5i,,Quackgram Lines,Yellow,Goth,,Empty,Blue Makeup,Party Hat
4497,15,1927,0,https://solanart.io/nft/Ai1BpmWxPVaQLQJp8K2NNj9UQk2bPkgW9areFXr6JHdo,,Biege Dotted,Devil,White,Pepe Tee,Robo Blue,Heist Mask,
4526,1.78,2239,84.66,https://magiceden.io/item-details/9byHQrwkP2wXdNVsPV4bmuK6Ls6twrNWGA8UwFJoWXJv,,Framed Strains,Devil,Metaduck,Oasis Tee,Classic,Glitch Digital Mask,Black Horns
4527,2.35,3676,71.56,https://magiceden.io/item-details/AKnZfLbVFFnJWV2McYwozrSipNPdizc1PCuWqVGnaA5Z,,Red Dots,Yellow,Bath,Outlaw Quacker Jacket,Classic,Band Hero Purple,Goldern Horns
4582,19,6498,0,https://solanart.io/nft/Fh4VSu7MnyifN6KabsZkbdbCgbsFfJwRrTY553Zc9oWt,,Quackgram Lines,Yellow,Hunt,Vest Jeans,Classic,,MDGA Cap
4589,2.6,6055,56.8,https://magiceden.io/item-details/12tvpsg6fe49TMx6CyiGSH47wcbdnxbpyZZapT81W27v,,Rays Orange,Yellow,Devil,Vest Biker,Classic,,Goldern Horns
4591,2,6178,62.17,https://magiceden.io/item-details/BtrW9MhjxVQ6MkBGqFpqR6h7EiRFtth8wJnSk15VhuWR,,Waves Purple,Goth,White,Kill Duck Tracksuit,Classic,,Black Bandana
4603,4.2,5861,41.8,https://solanart.io/nft/AzRU24tfsEmADgGcQE7aNX9qU6rKCLuLnZT71bc1Y9JB,,Dark Drips,Goth,Hunt,Coverall,Classic,,Ballas Bandana
4755,10,946,9.13,https://solanart.io/nft/BorjbnwGwcoeEperr7oCX73puVohTJ2fE1kssmvzydaZ,Joint,Blue Lines,Goth,Devil,Leather Jacket,Metaduck,,Goldern Horns
4785,79,16,0,https://solanart.io/nft/CFD559VxTjXRCdRb2LPhgbiCqbBr5m4ukaCGYFnnP3rC,TNT,Blue Lines,Acid Ranger,Acid Ranger,Comedian College Jacket,Metaduck,Death Metal,Dewey Hat
4822,21,3615,0,https://solanart.io/nft/3WkRPr5Kz23i7jGwsjuHcgvPKr8cKzPsMVkeMM5zh9A3,,Red Dots,Yellow,Hunt,Quack Knight,Classic,,Sambrero
4858,2.4,4767,65.44,https://magiceden.io/item-details/F5Rbv8xj5SNJUEdVjmDHjyWFfDzsaqkH5qx95Zrob8RU,,Waves Purple,Metaduck,White,Wild Lover Shirt,Classic,,Strong Beak
4889,2,3283,77.08,https://magiceden.io/item-details/CdjQBKmHSiWHPQouSFaoF8VqYpdksjDrajkNh1mhTFif,,Chess Purple,Yellow,Devil,Wild Lover Shirt,Classic,Blue Makeup,Arrow
4895,4,4093,52.91,https://solanart.io/nft/7etyhtJ2pquGfJyzqE9dmpzxWCCUufjfUtrek7gUv56o,,Quackgram Lines,Metaduck,Hunt,Tank Motorhead,Classic,Racing Mask,
5045,5,7242,26.68,https://solanart.io/nft/6ChZnkB1necHzCJTXFAGz9ZYjRGYFVp7uUo3SiJvLCR5,,Solana,Yellow,Hunt,,Classic,,Winter Hat
5116,2.3,6056,59.8,https://magiceden.io/item-details/96rRY1dTELiJJNiv6dbiWpQx4mQFqa3AKBSfHqWcxAW1,,Dark Red,Yellow,Devil,Vest Biker,Classic,,Goldern Horns
