id,price,moonRank,ðŸ’Ž score (%),storeURL,Bean,Bkgnd,Eyes,Head,Legs,Teeth
74,3,1333,60.48,https://magiceden.io/item-details/2qQduKcUdYh5uELjxidnyRssiuEcCfdDmz2e7JehggDa,Yellow,Black,Pure Pupil,None,Cartoony socks,Spiked uneven
96,2.2,355,84.27,https://magiceden.io/item-details/5tX9CpXFeA1CxjTTM1XHuy5BG7YLHbFmoqMgTpRNsvta,Silver,Red,Guppy,Dino spikes,Dino,Buck teeth
126,2.5,2359,48.92,https://magiceden.io/item-details/64LVLqtckQjkbYgZoMaKpLYHiPYUnb71rpoG8K96Kkw7,Red,White,Puppy Dog,None,Cartoony,Spiked uneven
163,1.25,1944,68.12,https://magiceden.io/item-details/FZP8JdrsNM2mUFb2atrnYmQXfMViDT5oRXSSeSFZskjC,Yellow,White,Offset,None,Webbed,Spiked even
187,2,715,80.46,https://magiceden.io/item-details/6ke4jm5NbES34Xd9dmSWZyjNe2aHALPL6UwHNkVf84S7,Red,Red,Pure Pupil,Bull horns,Dino,Round
193,1.52,1414,73.98,https://magiceden.io/item-details/9jqkadNwJSBJmETVFEshWCPVAwd9qYc7jwZnrkAirMqS,Black,Red,Guppy,Dino spikes,Dino,Round
222,1.25,2142,64.92,https://magiceden.io/item-details/CxdEbWo2ZkzoRis4LaPHixYEuu6YjRDsfD5QgPxYac5H,Red,Pale gold,Guppy,None,Cartoony,Spiked uneven
226,3.99,448,64.87,https://magiceden.io/item-details/BuZLkcyWcNxZDAGZkaqFqUSDPSw1Nu43gYZkErzLefqo,Silver,White,Guppy,Dino spikes,Cartoony,Buck teeth
233,2.44,1009,71.31,https://magiceden.io/item-details/98jZiNuGp4aXsnwDS9prPP5KhsQWRxPQKgA1BnxbEjb1,Orange,White,Guppy,Angler lure,Cartoony,Round
236,1.48,2111,63.12,https://magiceden.io/item-details/EGNAPms3B2qMMJyfTDjxEhbwiwTVgyDkQodbWZGLBBd7,Purple,Blue,Offset,None,Dino,Buck teeth
249,1.2,2390,61.42,https://magiceden.io/item-details/55HzL9QuZoFJwMwyAf7poLFq1gFVsV2tczStRA8rdVwz,Green,Yellow,Offset,None,Dino,Spiked uneven
258,3,1671,55.03,https://magiceden.io/item-details/E51G5vS16ogdEkkNzRkWuZAQe5sveAFuYU8FYb9qsAjf,Red,Orange,Guppy,None,Webbed,Spiked even
285,2.25,1754,61.19,https://magiceden.io/item-details/6MpXu8PBNr4Z5ecpmQwyyFNUGR4vbQoa7S7PWciU47Zs,Green,Orange,Guppy,None,Cartoony socks,Round
342,4.5,833,53.55,https://magiceden.io/item-details/GkkK981tF32WLzjbVDphvbT6hGAAp9TobkXhn9Nmkhmy,Red,Yellow,Black sclera,Bull horns,Dino,Spiked uneven
346,3.8,888,59.67,https://magiceden.io/item-details/3zj43foEB65PkVixVuvUZeDwDDWjYnGvd8C8tEvagWdn,Orange,Yellow,Cyclops,Dino spikes,Dino,Spiked uneven
399,3.33,1233,58.8,https://magiceden.io/item-details/BPiFojZnLCGXQ3gP8ia1W4viSY9R48yPwer6THVYzkYu,Green,White,Guppy,None,Mech,Round
422,2.2,1588,64.37,https://magiceden.io/item-details/Dy5tWtgiULsKusQ3KtV1G8qYq2uisWiPUeLFJH9WBPHM,Red,White,Guppy,Dino spikes,Dino,Spiked uneven
470,2.2,1500,65.79,https://magiceden.io/item-details/9JNGdvegDd2VNMWPXW1upLmJA4VsnUHnRLTGuNhQvSX1,Orange,Yellow,Pure Pupil,None,Cartoony,Spiked even
509,2.75,2456,44.86,https://magiceden.io/item-details/EqHXecpiEzePEZXdv2vhfyZtuT7irhyDL9NeKq3vvZdG,Red,Blue,Offset,None,Dino,Spiked uneven
543,4,1102,54.21,https://magiceden.io/item-details/66QuFad8BQetve4H2p8dgrb6JBihuANE7EDcyaky37oi,Purple,White,Offset,Dino spikes,Dino,Spiked even
546,2,871,77.94,https://magiceden.io/item-details/2sP2a8CfkUYSqqxGuX6xZE3ZtRNCC4gtRkxRfyJKW6Hp,Purple,Yellow,Offset,Bull horns,Cartoony socks,Round
552,2.5,1935,55.77,https://magiceden.io/item-details/G3spTAMEyx4CQK27pRKg3vssLyYgHeJb2JEKA17e87w9,Purple,Red,Offset,None,Webbed,Buck teeth
585,4.8,1448,40.63,https://magiceden.io/item-details/DjHfvisAWxwZC9Rv4SsgRuezKMhbTBgbbWNL6QxWouk,Silver,Red,Guppy,None,Cartoony,Spiked uneven
597,4.5,199,63.79,https://magiceden.io/item-details/BT1CW3MomqBD65DSoYw4jZLPB24cAzU1ZFHD9Ba69KTp,Black,Blue,Offset,Crown,Cartoony,Orc teeth
599,4.94,2094,28.8,https://magiceden.io/item-details/763Uc4o9dX11v7Sg8CyjuXej4RxHbfZjtkb3LAQjwj6,Green,Red,Offset,None,Dino,Spiked even
639,1.4,569,88.82,https://magiceden.io/item-details/HTzuo9sxubyj4HCztL3SthdVsCxbk2gWbu9qCeuGAuqt,Green,White,Guppy,Gills,Cartoony,Spiked even
677,3,639,71.69,https://magiceden.io/item-details/BWPQ2meQxHAkAxpCAyMpuXB3zfY9GBd9GTtwsmZX5wQ9,Black,Orange,Puppy Dog,Angler lure,Cartoony,Spiked uneven
685,2.5,2294,49.97,https://magiceden.io/item-details/9CnYxCbcGaT2EyPMPoYsitSXszGrQZVdPnN3WoRqgvcY,Yellow,Red,Puppy Dog,None,Cartoony,Spiked uneven
758,4,1156,53.34,https://magiceden.io/item-details/6UYimNKBjEhHERo6JMimfPazd91T1NYBRQYczX49sC2Z,Red,Red,Pure Pupil,Dino spikes,Cartoony,Spiked uneven
777,3,1130,63.76,https://magiceden.io/item-details/CitRY4Ewmh7D8WNMMhNQ4BdyWW1ebVgTFfHJQcTJg2B2,Green,Purple,Cyclops,None,Cartoony socks,Spiked uneven
791,1.9,1193,73.74,https://magiceden.io/item-details/BDepjch27EbWU5hcbaxtZ5NMWXkmFjaKFqAFxms8UGE4,White,Orange,Pure Pupil,None,Dino,Buck teeth
801,1.4,2054,64.84,https://magiceden.io/item-details/AbEW85X3nSpYpQT13Vjf4MxYweFgreUHemgXL9XAt2rV,Black,Blue,Guppy,None,Dino,Buck teeth
855,3.5,2237,40.89,https://magiceden.io/item-details/BXxS3CUEk1DqkQvMYpF3p6KzNss4wm3BqkeKZTPEkEGN,Green,Yellow,Offset,None,Cartoony,Spiked even
873,1.49,1844,67.33,https://magiceden.io/item-details/FATu2tmfActvq2y9CbU8dq9bK9uC3CYksYq5KYfHpZrN,Orange,Red,Offset,None,Cartoony socks,Buck teeth
934,2.5,2261,50.5,https://magiceden.io/item-details/3S7tH59CPf6kXWypwV7qtRHTjZB3yCXnX3ux1DwgGCMU,Orange,Red,Guppy,None,Cartoony,Buck teeth
943,3,1188,62.82,https://magiceden.io/item-details/2odht2Dc43QoV5zESUdcSXqNA51DbXXLQrfdUdYn8gPE,Blue,Blue,Offset,Dino spikes,Dino,Spiked even
954,2,2224,56.1,https://magiceden.io/item-details/Djfbgk58NVqBgJzbAo8ZZemzHBjJeQVPRar8L9Hu5YS8,Green,Red,Puppy Dog,None,Cartoony,Round
958,1.65,2364,57.34,https://magiceden.io/item-details/EpAh6hASmFRnH1LujdJ2VdmKjrE6367seY25xv9Uw13v,White,Orange,Guppy,None,Cartoony,Spiked uneven
1050,4.88,2384,24.72,https://magiceden.io/item-details/9G1v9hxvrPWL4RbuNfrbjiHM1YYRqwW5awNsFXkstyDk,Red,White,Offset,None,Webbed,Spiked uneven
1075,4.96,1769,33.84,https://magiceden.io/item-details/CW9wytAF4oSLBAka5djXJrnyx6Cz6dqJqekLfzqx9ewg,Purple,Black,Cyclops,None,Cartoony,Round
1102,1.2,1278,79.37,https://magiceden.io/item-details/D8iFvxE8DAqGhGDGs4QA5gztEavyE8aCA3J6pbKtHjbb,Orange,White,Cyclops,None,Cartoony,Orc teeth
1107,1.94,1607,66.66,https://magiceden.io/item-details/BQG7NQknoSKj5JKv871W2w4jKAEfNkZDo33dvwiwQwEy,Orange,Blue,Cyclops,None,Cartoony,Buck teeth
1130,3,971,66.33,https://magiceden.io/item-details/2UporbsA6XRqGr125n92yniUqsAsUXFbHgYeXuQthh52,Solana,White,Offset,None,Dino,Round
1132,4.95,1302,41.48,https://magiceden.io/item-details/3ZJp9TfjEFzg6hwPSbGcCVz1wvN94S8H5ZRzSYJQum1U,Black,Blue,Pure Pupil,None,Cartoony socks,Round
1140,1.55,1331,75.01,https://magiceden.io/item-details/BhSUgxXuCBEL76upSejCZ1ZGjYDE7uyL5AKAqR35ZTaU,Orange,Yellow,Black sclera,None,Webbed,Buck teeth
1148,2.9,2256,46.58,https://magiceden.io/item-details/5H7LjxidUqDaDMSwxhA96msfRRNS6BuuoXpCF5PS6SMN,Orange,Blue,Guppy,None,Webbed,Spiked uneven
1168,2.49,763,74.78,https://magiceden.io/item-details/DteWVWjmJQKqYti1rPgN2vxS1PeRuG49ugeYVQapqFHJ,Black,Pale gold,Puppy Dog,None,Cartoony socks,Spiked even
1206,2.35,1813,59.23,https://magiceden.io/item-details/JDfZGsbzstJXsFrMiQYw3obEKZSKF3gdbmUT1nCtcmTV,Yellow,Black,Offset,None,Dino,Orc teeth
1239,2.2,2342,52.2,https://magiceden.io/item-details/G54LC9MLxipNofimBFijxo5ybXtSL7F3mnHDLpa6RMU6,White,Red,Offset,None,Webbed,Spiked uneven
1267,1.47,1918,66.34,https://magiceden.io/item-details/45dFqoXtRFJgLDWkBUgdAd84EE22EEsDxY8zz2xjXpRn,Blue,Yellow,Offset,None,Webbed,Spiked even
1272,1.2,1958,68.39,https://magiceden.io/item-details/ESbFhsUi2vDfWxvM2JKGeayhDDBBYe2CRqpVoxbS8GJn,Purple,Red,Guppy,None,Cartoony socks,Spiked uneven
1280,2.25,2146,54.86,https://magiceden.io/item-details/Gokmoa5hKbnXqC2DmiXdbicGWWTwtiwwMcvNRmrZvrLG,Green,Yellow,Offset,None,Cartoony socks,Spiked uneven
1287,2.2,1266,69.56,https://magiceden.io/item-details/71psKz8or4FhfVY686cJ1tf2mPn8keGoKhP3Q8BsdTtm,White,White,Guppy,None,Mech,Round
1337,2.4,2412,49.07,https://magiceden.io/item-details/FZSwNCkxQLkVFg1Zuw2ccHxbMpcffEo59pXffxLTqEBf,Red,Yellow,Offset,None,Dino,Round
1341,2.2,1327,68.58,https://magiceden.io/item-details/2QjUNVaNtdyNuaZnBqUiFw6s8oL34iMYYxHAqWfyF5Ba,Yellow,Purple,Guppy,None,Cartoony socks,Spiked even
1355,1.49,2167,62.12,https://magiceden.io/item-details/Av5pUEtCed8pSKLkk9ST77j6LYL3LKG7tm4tPAqtQnQn,Purple,Red,Puppy Dog,None,Cartoony,Round
1368,2.5,1938,55.72,https://magiceden.io/item-details/HgG9Cj898uoG3DRa4w22sY5Sop6Hy3FE88RsGbdxoQqd,Purple,White,Offset,None,Webbed,Buck teeth
1386,3,704,70.64,https://magiceden.io/item-details/2YrjKBjotyHY7JdGBRKRpwNiRnLLjGFZfaaCmWwwtVtK,Yellow,Yellow,Guppy,None,Mech,Orc teeth
1389,2.9,1862,52.94,https://magiceden.io/item-details/871vHRiL7UHyt9QQoYykpxMsRfZY7nbjy3Dc2KPgQkZF,Orange,Black,Black sclera,None,Dino,Spiked uneven
1448,4,387,65.75,https://magiceden.io/item-details/EqGV9j1ynqE7uf3YL2FnFGxE954Ye7uyNC5QTHQWTfZT,Green,White,Puppy Dog,Angler lure,Cartoony socks,Round
1452,1.88,1954,61.66,https://magiceden.io/item-details/4FfAdnZiURMp8hAkgXVbYTrxGK4fJasQnRgXgQk3j4sS,Green,Red,Cyclops,None,Cartoony,Spiked uneven
1469,2.5,2297,49.92,https://magiceden.io/item-details/Fc5zKB9mDMMUtPPdmYU9sBzCjFP24mEXEGdPMucoFLuo,Green,Black,Offset,None,Webbed,Spiked uneven
1473,1.99,350,86.45,https://magiceden.io/item-details/6SBGnVVSYpiH9HKw8CKDVnYZpyLxZyX8xHhFWx9oqZPn,Solana,Blue,Black sclera,None,Dino,Buck teeth
1491,2.6,2103,52.05,https://magiceden.io/item-details/HhAY8QQ43uS88PQ97w3dPRtK5cbC77NHoNyzqZf3Rnj,Yellow,Yellow,Offset,None,Cartoony socks,Round
1530,2.5,2115,52.86,https://magiceden.io/item-details/AyiHFhXDui1tqAzo6uztvsFV3u5725Qza8wSSNL39emc,Green,Black,Guppy,None,Cartoony,Spiked even
1552,1.49,1496,72.95,https://magiceden.io/item-details/Hs1KeLkTTcXiush89gtRc7aGu8HQajociGMbF2TjaqPv,Red,Blue,Puppy Dog,None,Dino,Orc teeth
1581,2.49,2148,52.43,https://magiceden.io/item-details/E3Tohik6qTiL3FxAZfGMoQqb6QnEqgYRQ25J3VRnnW7Z,Red,Blue,Puppy Dog,None,Dino,Round
1654,1.51,1039,80.13,https://magiceden.io/item-details/9gfwd8nEzFEbYnbiNA2gCzU1WwYQWiTfAWnkmH8dJEag,Yellow,Purple,Guppy,Dino spikes,Cartoony,Spiked even
1732,2.2,665,79.27,https://magiceden.io/item-details/DriGNf9Ss4EeDCKV6gwN6ZvQCet2SbtwwKxqzJxTafgm,White,Red,Black sclera,Dino spikes,Cartoony socks,Round
1738,2.4,1540,63.14,https://magiceden.io/item-details/GzCHtZcAs8qWung5cXopfjprEPUdr7LXVAoArkZXoFnt,Red,Orange,Black sclera,None,Webbed,Round
1756,2.5,2287,50.08,https://magiceden.io/item-details/7z7X1VkQ3Az8iMU4pjAeVayFCj4XBSVUr6FJDfD5XcC7,Yellow,Purple,Offset,None,Dino,Spiked uneven
1768,3,1434,58.85,https://magiceden.io/item-details/AajVu12Gov24rV9ryYGzM9nR3VvxTjMyAxmMK2hyxW1e,Red,Black,Pure Pupil,None,Cartoony socks,Spiked uneven
1786,1.5,1012,80.66,https://magiceden.io/item-details/FKp8d3JJCvcPqTqW1cDaw65tWNpvWmYZi9qS3arQ9HaX,Red,Purple,Guppy,Dino spikes,Dino,Buck teeth
1816,4.5,489,59.11,https://magiceden.io/item-details/7DeaPUja7QQHXf4f3wc63CitbrNprU1ucbvVXz4Jz5HS,Black,Yellow,Laser,None,Dino,Round
1859,3.2,1419,57.09,https://magiceden.io/item-details/9wgMnQY3GihFZ3rALNKsM8hH3pGY7xZeKGjWPgtDZAz3,Red,Blue,Pure Pupil,None,Cartoony socks,Round
1914,2.5,1516,62.53,https://magiceden.io/item-details/Dr8eaCqKYeE27B1BZFWp1uxvRYCnTTVbaYjqnjDW9pDq,Blue,Blue,Cyclops,None,Cartoony,Spiked even
1958,2.5,2478,47,https://magiceden.io/item-details/5yDn4btRwKhDVJw2tkP33DZWNJsJLGBUeZu5Bc5EqTyw,White,Red,Offset,None,Cartoony,Round
1994,2.1,1557,65.87,https://magiceden.io/item-details/Dhk6c3rPzRJt9oNXKqWpyozN2mJuVKftE27KrbTJaMPJ,Green,Blue,Guppy,None,Cartoony socks,Spiked even
2018,1.2,2249,63.7,https://magiceden.io/item-details/ehEQzN5hzJ99sCQb4uhUYisBWidZDa7HLkqsRzcj4s4,Blue,Blue,Guppy,None,Cartoony,Buck teeth
2038,3,510,73.77,https://magiceden.io/item-details/2H74S6zeAYtK7gp4bT2ycHcfEyNUDCRH7NUVb9EiWhcT,Orange,Blue,Offset,Gills,Webbed,Buck teeth
2070,1.9,1570,67.66,https://magiceden.io/item-details/FbFoFYrCEehVG6k4dN4Qt84sVxumkRiM2AKEUSA2JXWf,Red,Red,Offset,Dino spikes,Cartoony,Buck teeth
2088,2.5,2109,52.96,https://magiceden.io/item-details/CJ2SAdhPL3NFZCfULiQGE5oo9oYnQXgLC5ozuFCxeW5F,White,Purple,Offset,None,Webbed,Round
2108,2.69,1147,66.59,https://magiceden.io/item-details/FidZh7Z6aGx3jfbCA85fwvst69NvQgdcaXfZ8NCWrRA,White,Solana,Offset,None,Webbed,Buck teeth
2132,1.45,2397,58.81,https://magiceden.io/item-details/6AGWhMAeg748BCqtbXayGddL4LUVMxWHkfpj71WS1rrG,White,Black,Offset,None,Dino,Spiked uneven
2188,4.2,561,60.94,https://magiceden.io/item-details/7t7kfhFEh6W8eqehYfJ8E9Z3Kq3Bp6W5zSKwetG3aFth,Red,Red,Guppy,Gills,Dino,Buck teeth
2198,2.5,2228,51.04,https://magiceden.io/item-details/3otJi7bzEVuHpYj34MT9T8hDPSBAuLFkhtL3BiscVc7k,Blue,Yellow,Guppy,None,Cartoony,Buck teeth
2217,4.5,1176,48.02,https://magiceden.io/item-details/GpBuv5f4L77sa8s12EYSZFJ6MGDFTn8t4rLXFNpRKaNq,Silver,Red,Guppy,None,Dino,Round
2226,3.33,904,64.11,https://magiceden.io/item-details/DCzSxFvWRghthPKoVJNXs7Wa8MkXadZB1BmQBhPCHKow,Orange,Orange,Puppy Dog,None,Cartoony socks,Orc teeth
2249,2.69,829,71.72,https://magiceden.io/item-details/8hJXAz6PVCbHnijAnx5B9hhDHk9AwUfJVcicdgaEht6M,Red,Pale gold,Pure Pupil,None,Cartoony,Orc teeth
2279,1.2,953,84.62,https://magiceden.io/item-details/mL9CvPqpFiTcJrk1AbzYwY5pcdBxsNvsX346Vdu5Nqq,White,Purple,Cyclops,None,Webbed,Spiked even
2302,2.5,1364,64.98,https://magiceden.io/item-details/EMaSn5bwckGLQAkvdTr2bkYdrRXKoRQh4GdxhequWJ9r,Yellow,Blue,Offset,Bull horns,Dino,Spiked uneven
2351,3.4,895,63.55,https://magiceden.io/item-details/6iCSXtuuqHA1vwM9k9rhXpP6jELYDy3mFNgVt2AsgCnt,Purple,White,Puppy Dog,Bull horns,Dino,Spiked uneven
2358,2,1462,68.4,https://magiceden.io/item-details/Ce1pMKad9vRspT7GLrtTNvSb94Ya7eWEHsW52sLFeJns,Yellow,Orange,Guppy,None,Cartoony socks,Buck teeth
2410,3.5,1948,45.56,https://magiceden.io/item-details/AJdyCKUwkEm1U41Wprp7rVvGxfBE3WppaKsNbQfCq4T3,Yellow,Purple,Guppy,None,Webbed,Round
2423,4,1321,50.68,https://magiceden.io/item-details/6aE7MahAwXXXV1UJjvZzZbV7cR6SxBg4bgyt4Yy5p8h1,Green,Purple,Cyclops,None,Cartoony,Buck teeth
2438,3,882,67.76,https://magiceden.io/item-details/BEXCgwJJev56S9ALQ9mvRgy6C3PWTHGjNys1Zw9r3n9x,White,Purple,Pure Pupil,None,Dino,Orc teeth
2468,1.5,1803,67.9,https://magiceden.io/item-details/49TNHyDPy6WWuLczWY7G8H59hWfgkrx8zrzMEc7HGiie,Orange,Black,Offset,None,Cartoony socks,Buck teeth
2488,4.7,1269,44.52,https://magiceden.io/item-details/A6ZXShc9k5nWowDyHUee8ySxgmhcQ2C1tkJ3VmkywkTT,Silver,Yellow,Offset,None,Dino,Round
