id,price,moonRank,ðŸ’Ž score (%),storeURL,Background,Base Model,Desk,Favorite Programming Language,Hoodie,Monitor 1,Monitor 2,Monitor 3,Mouth
2,240,5458,0,https://solanart.io/nft/3thGJ1dMZqvE3vb7NwhzNsB6Am86XG6B3emSDkL8Tsnq,Magenta,Tan,Bronze Metal,JavaScript,Neon Solana Hacker,Trading Dark,Glitch One,Solmane,Pink Smile
349,125,7635,8.42,https://magiceden.io/item-details/kQ1Cak9WyteHJnRLDet5S2mohiuhyPBoYYsXiTD2tBH,Magenta,Chestnut,Silver Metal,Objective-C,Squid Game Hacker,Glitch One,Trading Dark,Glitch One,Red Smirk
2816,171.33,2627,0,https://magiceden.io/item-details/GcefQ2ob8V6wPxqzxrqmait7WSavwtZsinfYrSF44LGn,Dark-Red,Tan,Purple Metal,Objective-C,Captain America Hacker,Hacked,Hacked,Elysian,Purple Smile
2943,189,7844,0,https://magiceden.io/item-details/HrktfciWdtnSFAxzhuZfv7GMreZ5AJigyEiuU8CGYuwJ,Gold,Natural,Bronze Metal,Java,Squid Game Hacker,Glitch Two,Hacked,Hacked,Pink Smile
3287,777,7,0,https://solanart.io/nft/CfPEDgUzKynZvfRuKdey3knJEhv8XEGB9QywZL1ToazA,Light-Yellow,Natural,Red Metal,Rust,Tech Hacker,Serum,Unicris,Future Finance,Red Smirk
4270,120,7657,58.33,https://magiceden.io/item-details/J8xCL9sdnfAT1f17t2xiUbxqbtKCneWax5GhxBNVFuTy,Violet,Natural,Bronze Metal,Python,Dragon Hacker,Glitch Two,Glitch One,Hacked,Pink Smile
5354,125,3728,24.58,https://magiceden.io/item-details/DqY7WsjGhAbmEkjFZ3j6yFe7dPCaa2KD1N5ztxswSrsj,Magenta,Natural,Red Metal,C,Tech Hacker,Trading Dark,Wumbo,Matrix,Red Smile
5503,125,8344,5.49,https://magiceden.io/item-details/4hVvfxNYQvxxA4sds1vqS3hdBprndaz3rZFtmtdoG1co,Violet,Tan,Bronze Metal,Python,Unmasked Squid Game Hacker,Matrix,Linux,Trading Dark,Pink Smirk
6066,158,2194,0,https://magiceden.io/item-details/Fx91MkdoYtK4DrZGhtu5Wdg3FHa2hQR8nYbQwixVynuC,Violet,Tan,Silver Metal,Python,Shadowy Hacker,Defi Land Welcome,Matrix,Hacked,Pink Smirk
6075,595,6621,0,https://solanart.io/nft/APb8LAWneaUF9NttweZW1AX68eScDykjoH26VsYyd2XY,Light-Blue,Chestnut,Silver Metal,Fortran,Unmasked Squid Game Hacker,Access Granted,Glitch One,Glitch One,Red Smile
6100,119,2299,90.49,https://magiceden.io/item-details/EqcX7wv5YD4isYRAV5NZexskovoYuLf9gsUxQmiLN5P1,Light-Orange,Pale,Red Metal,C++,Dragon Hacker,Linux,Linux,LIQ,Pink Smile
6827,184.69,6019,0,https://magiceden.io/item-details/9nHsjjix1r83V7kNR2eahTGNdbKBkSuRMif2QyUwCb7R,Pink,Pale,Red Metal,Python,Monke Hacker,Trading Dark,Linux,Glitch Two,Red Smirk
7743,169.69,1894,0,https://magiceden.io/item-details/E81rf4Xyn5ojfaxKw5U8w5W9pkuxUyMZGWBkEViZfxLc,Light-Orange,Pale,Purple Metal,Go,Tron Hacker,Samo,Trading Dark,Linux,Red Smirk
7757,176.33,5203,0,https://magiceden.io/item-details/6VyEbjtfVuqER6HrM2egEDVrjWgBMpiTxCPP5HNVPwbr,Gold,Pale,Red Metal,Solidity,Cat-Ear Hacker,Trading White,Hacked,Goo,Red Smirk
7917,125,6061,14.93,https://magiceden.io/item-details/5W55Ds2y1Qag5SJzwrm2rXc6PnZMuG3Bmp2RnszygRGH,Violet,Pale,Silver Metal,Python,Squid Game Hacker,Hacked,Glitch Two,Linux,Pink Smirk
8010,200,9084,0,https://magiceden.io/item-details/Abs2iydUetmByDhGwov1HDc3irBEHfD2zMcCsdr8T1Nw,Dark-Red,Pale,Red Metal,C++,Punk Hacker,Linux,Glitch Two,Hacked,Pink Smirk
8682,125,3143,27,https://magiceden.io/item-details/4rjarCB6WzJA6BZvmft1mDX4NJmhH1TTc3c5m21L4VjQ,Noire,Natural,Purple Metal,Objective-C,Monke Hacker,Glitch One,Fabric Alt,Linux,Pink Smirk
9264,125,6388,13.58,https://magiceden.io/item-details/BspBDbT2AJwwAiS1oRnScNTdEUoeg4GqotGMnw3QYsZm,Dark-Red,Chestnut,Silver Metal,Java,Squid Game Hacker,Access Granted,Glitch Two,Trading Dark,Pink Smile
9272,125,5470,17.38,https://magiceden.io/item-details/B8DT7zymqjswLhafERSVtU8izinrmS2KiMFv6h8R743,Violet,Chestnut,Bronze Metal,Python,Squid Game Hacker,Linux,Cropper,Hacked,Pink Smile
9480,129,9671,0,https://magiceden.io/item-details/CXvffxWmT1pVno6u4aXXd4N3fy95de51JtiDdd2SjRrL,Dark-Red,Tan,Bronze Metal,C#,Shark Hacker,Linux,Access Granted,Access Granted,Pink Smirk
9704,125,9215,1.89,https://magiceden.io/item-details/8QymK6WVtDd4JK3HcjFTQqFLWiHwDqHZ8SPywhpCbVCq,Violet,Chestnut,Purple Metal,Go,Shark Hacker,Glitch Two,Matrix,Hacked,Pink Smile
9906,125,7372,9.51,https://magiceden.io/item-details/APku5F1TdVQCQD5TPxudrXHA6AbzXhxETxQFn2FpCvNd,Green,Natural,Silver Metal,Go,Neon Solana Hacker,Trading White,Access Granted,Access Granted,Red Smirk
