id,price,moonRank,ðŸ’Ž score (%),storeURL,Background Color,Beak Color,Chain,Ear-ring,Face Tattoo,Favourite rapper,Head accessories,Head Color,Neck Color,Position in gang,Shades,Smoking,Type
0008,50,2615,0,https://magiceden.io/item-details/J25ypByAkq1dpWKKLqydGZDDbUhPKZwDKWskka4eKQJQ,palegreen,lightsalmon,none,none,none,ditc,normal,powderblue,rosybrown,thug,standard,none,normal
0021,150,3244,0,https://solanart.io/nft/3yFD3xU2DqoHE5DiSijq49PGN8wigBN4bJVAtsEpoufg,aquamarine,gray,none,none,none,mobb deep,normal,thistle,gray,thug,standard,none,normal
0025,50,3123,0,https://magiceden.io/item-details/Gc4LdSFSNyNYG4paaxmpUEydYP2GjoxdHXstz5qH8qFp,coral,lightsalmon,none,none,none,jay-z,normal,lavender,gray,thug,standard,none,normal
0039,48,3010,0,https://magiceden.io/item-details/G6SmtSmT6z7GxUXBeRhjc6ZkZmrwnucYmjjjr8cavQ13,thistle,saddlebrown,none,none,none,outkast,normal,pink,gray,thug,standard,none,normal
0041,49,3307,0,https://magiceden.io/item-details/HeT5d7qZbqC48VFrHnk3PHx2TVGxE5Jp7yp8zmPZr57y,lightpink,saddlebrown,none,none,none,biggie,normal,silver,gray,thug,standard,none,normal
0046,45,2506,0,https://magiceden.io/item-details/HHPG1rRs8EJiTURoh4gT8ZLUcYDuGHaqyBbaJeeUxAFh,palegreen,darkslategray,none,none,none,nas,normal,bisque,gray,thug,standard,none,normal
0067,49,468,0,https://magiceden.io/item-details/CPsFRKy3ruPUKEcmde9SNRmrAhxmkQrSH5mYgLMXa2ix,khaki,lightsalmon,silver,none,none,biggie,normal,lightcyan,lightcyan,thug,standard,none,alien
0087,55,1235,0,https://solanart.io/nft/E3Vq2muBXj4xMQzVRcFGNyNAcuCmvMsMPUTAPAWwd54x,coral,saddlebrown,none,none,none,ditc,forwards cap,palegoldenrod,cadetblue,thug,standard,none,normal
0109,26.69,1762,11.69,https://magiceden.io/item-details/2YJnvWGDyBaX71vaeyG7BbEzesEgjR4PHG8rAzyewqPP,coral,darkslategray,none,none,none,wu-tang,heisenhat,lightblue,gray,thug,standard,none,normal
0110,44,2048,0,https://magiceden.io/item-details/26ch8BXoGTK5gq4NkFPuALmxqHYppcrMvqrDYTyQghVX,khaki,lightgray,none,none,none,outkast,heisenhat,silver,slategray,thug,standard,none,normal
0111,50,2481,0,https://magiceden.io/item-details/2StqomA3dDMMqLoKUe6Agiw5iXLtRWv5MPx8wUNaQywf,thistle,saddlebrown,none,none,none,wu-tang,normal,darkgray,gray,thug,standard,none,normal
0133,33,1679,0,https://magiceden.io/item-details/75AkbZi6RBGgsMADf1kv7CHcLUksTpuaXzRV7i83umYJ,khaki,lightgray,none,none,none,biggie,normal,thistle,cadetblue,thug,standard,none,spotted
0140,44,2019,0,https://magiceden.io/item-details/Gh8szqSg13GVKf5U1V8ePQnycSUBB5pxyx5HKD8xiG4d,khaki,saddlebrown,none,silver,none,ditc,normal,lightsteelblue,rosybrown,thug,standard,none,normal
0149,35,1710,0,https://magiceden.io/item-details/DyGvKMSBh6jreDnzC1KXXGFmEepsaS6W6wBS2yatH45A,aquamarine,saddlebrown,none,silver,none,biggie,normal,pink,rosybrown,thug,standard,none,normal
0170,19.99,2140,74.12,https://magiceden.io/item-details/6HQTKGkmWfFwkqqwviVEwtK2kEbwMCkAFuqws1LQW6oS,palegreen,darkslategray,none,none,teardrop,jay-z,normal,thistle,lightslategray,thug,standard,none,normal
0204,33.3,1964,0,https://magiceden.io/item-details/DcH4hocEjdzkhvVugqhezmJKxpRv1NS4zFJcpph9QRJF,palegreen,lightsalmon,none,none,teardrop,mobb deep,normal,paleturquoise,lightslategray,thug,standard,none,normal
0205,28,1785,0,https://magiceden.io/item-details/CCc1PrgEGTLaGyYNvtgmFMyJTS59AeFPpSFkmhRQbUvC,palegreen,tomato,none,none,none,ditc,forwards cap,lavender,slategray,thug,standard,none,normal
0215,49.900002,2790,0,https://solanart.io/nft/4YeX6zzA3C56XHsykiDScvH8Q47XG5gkN55AymbLWFZB,thistle,lightgray,none,none,none,ditc,normal,lightgray,rosybrown,thug,standard,none,normal
0224,42,164,0,https://magiceden.io/item-details/5ZmkTqiCv3oR8xj5dezxn8vhy96nX1z6oCXPxhztDCF1,khaki,saddlebrown,none,none,none,biggie,beanie,lightcyan,lightcyan,enforcer,standard,none,alien
0240,28.9,286,7.44,https://magiceden.io/item-details/9NQ1LHneyxRZ7VA6pktZrELRPnXoGLqnoDxMhq9jivD7,thistle,lightsalmon,none,gold,none,wu-tang,heisenhat,pink,gray,thug,standard,none,spotted
0241,26,1765,18.55,https://magiceden.io/item-details/878A74xGX4UUeZHWFr8yti5h4sYcHeyUvKLfMbGgNbS1,lightpink,gray,none,none,none,ditc,normal,paleturquoise,rosybrown,thug,standard,none,spotted
0261,50,470,0,https://solanart.io/nft/4L8jZh8bp7uPAFk1FxR35xQS2R1xFyhKsNSN3Rcd1WqW,aquamarine,tomato,silver,none,none,jay-z,normal,lightcyan,lightcyan,thug,standard,none,alien
0293,30,1316,0,https://magiceden.io/item-details/2dVGqpocqGoaPxFU4VnQyTdEhte6Gjrb6qF92WE1NmVs,coral,saddlebrown,none,none,none,outkast,normal,lightcyan,lightcyan,thug,standard,none,alien
0299,35,2020,0,https://magiceden.io/item-details/AuWc1oxSSK5ZpKq92XKxttLJurpnyJRFAX9g5RfEaqUE,palegreen,gray,none,none,none,mobb deep,doorag,thistle,lightslategray,thug,standard,none,normal
0311,105,128,0,https://solanart.io/nft/HS44qX44X6D5q5QsCzTHYJMomVCunB4Y7SijjHV7q7My,palegreen,lightgray,gold,none,none,mobb deep,backwards cap,lavender,slategray,thug,standard,none,spotted
0323,35,2100,0,https://solanart.io/nft/cbr1mCN59V7XYPNLokBXL2rv3YE4vEkftit5TzL9PMq,khaki,gray,none,none,none,mobb deep,normal,wheat,darkgray,thug,standard,none,normal
0327,45,1546,0,https://magiceden.io/item-details/2pgbzBimZKZqiTe4pzb8bB4j1yA5bpa8JMBVf57PfNgW,lightpink,tomato,none,silver,none,tupac,forwards cap,lavender,gray,thug,standard,none,normal
0397,29.98,560,0,https://magiceden.io/item-details/36eghwXWkLfnvj2RYgtBUe2nDPxmjpYs7UC5m7LbJeYB,lightpink,lightsalmon,none,none,none,gang-star,normal,lightcyan,lightcyan,enforcer,standard,none,alien
0455,777,183,0,https://solanart.io/nft/ETixXXcqVvKTyvdFyTJQSnfC94aj79zqf2DgMuiKXPpC,lightpink,lightgray,none,none,none,gang-star,beanie,powderblue,darkkhaki,thug,red,none,normal
0476,149,768,0,https://solanart.io/nft/EUVverJcDGqZMbqYMUHFeLs3aamt9s8VTkHR8UWkLu5j,palegreen,saddlebrown,silver,none,none,ditc,normal,lightyellow,gray,thug,standard,none,normal
0499,39.69,661,0,https://magiceden.io/item-details/CCZxAzEQwNBHA1YT4SC6HDy4CwQvYVUKcarye95HjGt8,khaki,darkslategray,none,none,none,wu-tang,doorag,palegoldenrod,dimgray,thug,standard,none,spotted
0522,50,2911,0,https://magiceden.io/item-details/8a2Xs8YY3Xk8PKSbLWfHLrNT6u74fYHGus1oCLgGNXGC,aquamarine,saddlebrown,none,none,none,mobb deep,normal,paleturquoise,lightslategray,thug,standard,none,normal
0542,42,860,0,https://magiceden.io/item-details/5svJo6hp3f1gLvgZdosHrv3Lr35M3FkynbTDfCiDnvhW,aquamarine,tomato,none,gold,none,mobb deep,beanie,lightgray,lightslategray,thug,standard,none,normal
0546,50,1048,0,https://magiceden.io/item-details/5SK91ht6WD76q3zNZ7xCZx4UFr14HKopyfmST536MqFT,khaki,lightgray,none,none,none,jay-z,normal,powderblue,rosybrown,thug,standard,spliff,normal
0549,45,751,0,https://magiceden.io/item-details/HvmEMfmAvigBrHGLufGa5feUAiYYLFQppQm4KNcbYFGG,khaki,lightsalmon,none,none,none,gang-star,normal,pink,darkseagreen,thug,standard,blunt,normal
0570,28,802,10.2,https://magiceden.io/item-details/HN1635HjWEer1cgYVkWnfcC7p5ps1ab8S4k8uivxF2DM,thistle,tomato,none,none,none,wu-tang,forwards cap,lightpink,darkkhaki,thug,standard,none,normal
0605,50,495,0,https://magiceden.io/item-details/2FLPWYpSZtvbk644n5rLA2SSCfg1UZLnrrtQsG6wVK2c,khaki,lightgray,gold,none,none,outkast,normal,lightblue,cadetblue,thug,standard,none,normal
0630,23,1146,56.04,https://magiceden.io/item-details/2q6KTYXzSqqbrECoZuXPmEswswdKPAsBUEAGnZ4bedCi,coral,saddlebrown,none,none,none,outkast,heisenhat,lightblue,rosybrown,thug,standard,none,normal
0637,30,820,0,https://magiceden.io/item-details/6xTbUxEfsTuBMQpDhQcZm866XnVaYJDsCfJqT2Buchxk,khaki,tomato,none,none,teardrop,gang-star,backwards cap,beige,gray,thug,standard,none,normal
0647,42,1584,0,https://magiceden.io/item-details/BUwgV1V1hHNunYNfPVw5aaCCgta44e9tRXNHwC4PYedR,khaki,darkslategray,none,none,none,wu-tang,beanie,thistle,gray,thug,standard,none,spotted
0663,29,1579,0,https://magiceden.io/item-details/7JT3L3cxXWDamsrugTpo9pbnQpxdhSi4mkpAvd5gPAjV,palegreen,gray,none,none,none,nas,normal,silver,slategray,thug,gold,none,normal
0681,40,1245,0,https://magiceden.io/item-details/9x6bffnMopD7ebnECSnDmaLG65C7feBiVS2Ces97Ddu9,coral,gray,none,none,none,tupac,normal,darkolivegreen,darkolivegreen,thug,standard,none,zombie
0717,30,1724,0,https://magiceden.io/item-details/X2fCi2GYDWqPsCfFWZwqGxXTz9wNhQw5uGPgpjQYpdW,thistle,darkslategray,none,none,teardrop,gang-star,normal,lavender,rosybrown,thug,standard,none,normal
0725,19.99,3025,63.41,https://magiceden.io/item-details/41U1JbipFF6e75o1fJXMGjn98FPyabCMx4unYKUL4JkY,khaki,lightsalmon,none,none,none,biggie,normal,thistle,lightslategray,thug,standard,none,normal
0735,158,93,0,https://solanart.io/nft/DVJr3cQhzQYyKibVHncWMcUqNkTybS5f8FbMqtXd1JAR,coral,darkslategray,none,none,none,outkast,forwards cap,honeydew,darkgray,thug,gold,none,normal
0738,22,2830,45.67,https://magiceden.io/item-details/GoHqWx8jdEfhymkdfzmSzabEPMTN7ns7DmookHckPCGH,coral,gray,none,none,none,ditc,normal,lightblue,gray,thug,standard,none,normal
0784,50,684,0,https://magiceden.io/item-details/22K2mhDPbrCqtLmSU3VwfhLb2bK893L8a56uFsuTYLeE,lightpink,tomato,none,none,teardrop,tupac,normal,lightsteelblue,darkseagreen,enforcer,standard,none,normal
0785,38,1018,0,https://magiceden.io/item-details/CBtgBQtq3mAP9vbR7WZmaGwkTNFtj675QbUxfgPjmE31,thistle,gray,none,silver,none,gang-star,normal,wheat,lightslategray,thug,standard,none,spotted
0794,99,2308,0,https://solanart.io/nft/9ZeWgtoiXvVUC1QYSdxgBNocM4STaRZBw8oe8JaTHAVw,aquamarine,darkslategray,none,none,none,outkast,normal,lightpink,darkseagreen,thug,standard,none,normal
0795,45,2024,0,https://solanart.io/nft/FjtuHArvHyBGibcfL5KKRiLxgHHGhaLJcs8TLPx2jbKK,palegreen,lightsalmon,none,none,none,outkast,doorag,silver,slategray,thug,standard,none,normal
0830,39,1428,0,https://magiceden.io/item-details/Br7MzVYXdaDjYqZoTBb2DwHc86VPTz7UW5gqKeSzcdfA,thistle,lightsalmon,none,none,none,ditc,normal,darkolivegreen,darkolivegreen,thug,standard,none,zombie
0870,32,2996,0,https://magiceden.io/item-details/JBYQkEQANFWPJ9S1Q7wDFLeC7XTWA28HMnKwrG2doU2S,lightpink,lightsalmon,none,none,none,ditc,normal,wheat,gray,thug,standard,none,normal
0876,298,2021,0,https://solanart.io/nft/yZrchTpfp1RrTHU1dkobtbbVB6vbCGAe7U7uKkqhVU4,thistle,gray,none,silver,none,nas,normal,mistyrose,gray,thug,standard,none,normal
0882,175,970,0,https://solanart.io/nft/EidDFkv6zAaMPENbx2knKRLi2JjASothaRQpTbcujQ5c,aquamarine,darkslategray,none,silver,none,ditc,forwards cap,lightsteelblue,rosybrown,thug,standard,none,normal
0889,50,2583,0,https://magiceden.io/item-details/BLxaTxHMU9ucrcjrTe8jH7iLQEJkhaac35xMVdNLTf6X,khaki,lightsalmon,none,silver,none,ditc,normal,silver,lightslategray,thug,standard,none,normal
0924,50,3135,0,https://magiceden.io/item-details/4gRymi4M7xFDgDkPAukUMjSy1ena6vLHdXYHS1CfdNE5,aquamarine,lightsalmon,none,none,none,mobb deep,normal,lavender,gray,thug,standard,none,normal
0928,42,403,0,https://magiceden.io/item-details/3326s9udMiGft4wmVxoroJmAXCeMEdS1jL2pHFmLGub6,khaki,darkslategray,silver,silver,none,biggie,beanie,lavender,lightslategray,thug,standard,none,normal
0930,22.5,2058,50.01,https://magiceden.io/item-details/AxQSKp1WBMufdKfhuSQGv3NiTE88EQquTaEYVdn1W2zS,palegreen,saddlebrown,none,none,none,outkast,forwards cap,silver,slategray,thug,standard,none,normal
1026,45,2525,0,https://magiceden.io/item-details/BPTetLYyPX7GHYBHdmc94qC1oUsgZLDJWaQJb6KML5pS,palegreen,tomato,none,none,none,ditc,normal,gainsboro,gray,thug,standard,none,spotted
1038,49,801,0,https://magiceden.io/item-details/F6bhjo5qzZzKBac6YTsuKV1bej6urvQtYPKWqwDwCZwN,coral,lightsalmon,none,silver,none,outkast,normal,darkolivegreen,darkolivegreen,thug,standard,none,zombie
1086,40.99,1669,0,https://magiceden.io/item-details/CwbmjDMYp2vZP44uF9brREuLubLgajbrnZrC9wkMomGL,coral,lightsalmon,none,none,none,nas,beanie,plum,lightslategray,thug,standard,none,normal
1087,22,2118,54.28,https://magiceden.io/item-details/E8FcGAsKA52foNye9KLxYe9t9Qk7nf5bf9mhTZotJZRY,khaki,lightsalmon,none,none,teardrop,gang-star,normal,silver,slategray,thug,standard,none,normal
1105,44.44,867,0,https://magiceden.io/item-details/EkubRGFL9yg6sd6UxjKrwvsqWr2NWnXGuz4Z52Y7568L,thistle,saddlebrown,none,none,teardrop,mobb deep,normal,wheat,lightslategray,enforcer,standard,none,normal
1111,37,550,0,https://magiceden.io/item-details/J3sWcD4qgQvK8UTxEkMMSX5BbFchYoqa4PFLANmpW2jA,lightpink,lightsalmon,none,none,teardrop,outkast,beanie,pink,dimgray,thug,standard,none,normal
1125,36,2277,0,https://magiceden.io/item-details/8w7hErgA29ZY9u12J6WcSDGVurqazfxpSkNjAUsyf2J4,khaki,darkslategray,none,none,none,biggie,normal,pink,dimgray,thug,standard,none,normal
1132,39.95,374,0,https://magiceden.io/item-details/HxyVu3ufnwCGNCsBMQQxCsH8eJFcW17ZNcaQggsSyRPg,aquamarine,lightsalmon,none,gold,none,tupac,normal,darkolivegreen,darkolivegreen,thug,standard,none,zombie
1140,50,908,0,https://magiceden.io/item-details/71xqDe7H2NCNktkyAHimpKZ4N8rTkej1vzhCWsdhaS71,khaki,saddlebrown,none,gold,none,wu-tang,doorag,lightpink,gray,thug,standard,none,normal
1150,38.5,1056,0,https://magiceden.io/item-details/HkDyZHCCtZXaQUb99axJZDAwdYU7rQDji69NNUmWTo9W,coral,darkslategray,none,silver,none,tupac,normal,whitesmoke,slategray,thug,standard,none,normal
1196,45,1441,0,https://magiceden.io/item-details/97vDXLEaEBm13Z6nW9oisRa8En6xYMavoJcFqjC24WX8,aquamarine,darkslategray,none,silver,none,nas,forwards cap,powderblue,gray,thug,standard,none,normal
1198,40,188,0,https://magiceden.io/item-details/AWPpk7Scp2rtMQuLYVNm4GJ2gisHnfWKKYz9n8DQ1SEN,aquamarine,gray,none,silver,none,mobb deep,backwards cap,lightcyan,lightcyan,thug,standard,none,alien
1216,49,2094,0,https://magiceden.io/item-details/GdmDDe6zunDjzQ2ksj86xtWgttTCTMRLqrY9NwCAyAFX,thistle,lightgray,none,none,none,nas,normal,silver,gray,thug,standard,spliff,normal
1263,31,1240,0,https://magiceden.io/item-details/HUK5DAA8kCxjXcdqryGp7ZNP5oVBaecJJ2QbajUikvUG,aquamarine,darkslategray,none,gold,none,jay-z,normal,pink,slategray,thug,standard,none,normal
1267,46.69,911,0,https://magiceden.io/item-details/2PhWwfm6PiRQSm8XMKT7KTNqx4Ts38Y2oAvNwgV4bRjo,palegreen,lightgray,none,none,none,outkast,doorag,lightsteelblue,slategray,thug,standard,none,spotted
1271,45,349,0,https://magiceden.io/item-details/4vkcWp3n6bSuUfW53sHWFrsHAbMGpDfdtL1wSbHj6Ame,coral,lightgray,none,none,none,wu-tang,heisenhat,silver,rosybrown,enforcer,standard,none,spotted
1275,50,407,0,https://magiceden.io/item-details/HF7duJcFXcev8cVCNZN2s7FahyD2bTY3ADWWXyzLKhuK,thistle,tomato,none,gold,none,outkast,beanie,paleturquoise,darkgray,thug,standard,none,normal
1281,40,3283,0,https://magiceden.io/item-details/HkW5nXRmDmJkSBFZpJqoHVrhQgpUpQTqJgftKwR64EjC,palegreen,darkslategray,none,none,none,wu-tang,normal,silver,gray,thug,standard,none,normal
1292,49,2373,0,https://magiceden.io/item-details/HbAPJTajQY3VydJU2W2WM7cUgdaP8bToz5VgiPNJRzKU,lightpink,gray,none,none,none,ditc,normal,honeydew,gray,thug,standard,none,normal
1304,32.5,460,0,https://magiceden.io/item-details/7aqzd6keVZ1a6LPyMQBUybZWVwqLX7AvZdqBkGFDbzn1,lightpink,tomato,none,none,none,jay-z,doorag,lightcyan,lightcyan,thug,standard,none,alien
1311,24.69,1632,33.26,https://magiceden.io/item-details/72HjhKyPTiaVdeJNv7eDFzUzFBmhpRvE6jXziRhC6VSa,aquamarine,darkslategray,none,silver,none,ditc,beanie,lightsteelblue,gray,thug,standard,none,normal
1330,50,733,0,https://magiceden.io/item-details/9nMMESxHPmimiDguEGPa5uZfVdBhVcawcp7RCDdB4hH3,thistle,gray,silver,none,none,wu-tang,forwards cap,beige,gray,thug,standard,none,normal
1337,29,2584,0,https://magiceden.io/item-details/BDm5Gy1esRi2RUZZSRLu6SFnxGpSTbz2XaXuuWjj5pYN,palegreen,saddlebrown,none,none,none,tupac,normal,thistle,cadetblue,thug,standard,none,normal
1383,29.95,618,0,https://magiceden.io/item-details/9vcqFTHqu7Thea91CTzhYJTLr9YjAzrUZMUFPEA9s6sL,palegreen,lightgray,none,silver,none,tupac,normal,wheat,gray,enforcer,standard,none,spotted
1412,25,948,38.43,https://magiceden.io/item-details/ziXZEGmGjVcpf9zMaD58g5VvAee3WqDSFigARBSAhhS,coral,gray,none,silver,none,tupac,backwards cap,paleturquoise,slategray,thug,standard,none,normal
1431,99,3297,0,https://solanart.io/nft/D56jgvkZKVzYsdhJxhB6hf3tLjPLwbaxZ7yCFX5EMj7g,aquamarine,tomato,none,none,none,nas,normal,silver,gray,thug,standard,none,normal
1438,49,283,0,https://magiceden.io/item-details/25odV1cGdmn6n2mCTNbGUnFND7VXn1daAQQPjZCSxo8h,thistle,darkslategray,none,silver,none,tupac,beanie,linen,dimgray,thug,standard,none,normal
1445,30,2853,0,https://magiceden.io/item-details/6eTr1GaytJUbpBH3fbQqVjZaEy5VHPqs2E1vMuj1f4Qo,lightpink,lightsalmon,none,none,none,wu-tang,normal,thistle,rosybrown,thug,standard,none,normal
1482,117,3220,0,https://solanart.io/nft/Dz5six3Ebt5Tva2HAgwPXrk5TtaozTsTJ2kNqhmTPLYL,lightpink,saddlebrown,none,none,none,jay-z,normal,lightgray,gray,thug,standard,none,normal
1483,1338,1889,0,https://solanart.io/nft/5NTcj6yj4Z95CgDCHYMKdWgAWs73pk1U5N5WVGMk4ZGh,lightpink,gray,none,silver,none,outkast,normal,lightgray,dimgray,thug,standard,none,normal
1497,20.4,2671,63.59,https://magiceden.io/item-details/63QQxfJchLcWneH4GKmeEHemZHP9vwDm8ddR2YPDyX7v,lightpink,lightsalmon,none,none,teardrop,nas,normal,silver,gray,thug,standard,none,normal
1537,25,1300,34.18,https://magiceden.io/item-details/7WosMiHYr12pM47UXFC1K6H2T6Bw4NXHM5oKHciSgp5U,aquamarine,lightgray,none,none,none,ditc,normal,lightcyan,lightcyan,thug,standard,none,alien
1571,30,2445,0,https://magiceden.io/item-details/CCc7VnyKDZJMZGqqxU59pddXtfLsp43mwTkLmHcHb5bq,khaki,tomato,none,none,none,biggie,normal,wheat,rosybrown,thug,standard,none,normal
1593,49,3195,0,https://solanart.io/nft/44BiHHpWSySEp8k4Ux9c19uxeGEz9Vof8rYvjm82WdPC,coral,darkslategray,none,none,none,nas,normal,gainsboro,gray,thug,standard,none,normal
1609,30,628,0,https://magiceden.io/item-details/8tFEuCWTsskh5cLuDNKKrtgGbUX4t7cM55nW52XjD3J,thistle,darkslategray,none,silver,none,jay-z,normal,lightgray,lightslategray,enforcer,standard,none,spotted
1631,50,1303,0,https://magiceden.io/item-details/D9HsQkXkWGUp6Qdp9c5AW2fyH1LVyMyP1hm4fCfQryKQ,lightpink,lightsalmon,none,none,none,tupac,normal,darkolivegreen,darkolivegreen,thug,standard,none,zombie
